% Model:              Testfile_Circle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:30
% Table:              GS_Full_D - GS_Rot_Full_D (lambda, abs(lambda))
% Omega                                           lambda                                            Eigenwert                                         abs(lambda)
10                                                1.2344902049382349E-13                            1.2344902049382349E-13-2.4048255576924964i        2.4048255576924964
20.6913808111479                                  1.2344902049382349E-13                            -2.3983655455395363E-14-2.404825557685338i        2.404825557685338
42.81332398719393                                 1.2344902049382349E-13                            3.1080013685023626E-14-2.4048255576804105i        2.4048255576804105
88.58667904100822                                 1.2344902049382349E-13                            1.2708840643513226E-13-2.4048255576974107i        2.4048255576974107
183.29807108324357                                1.2344902049382349E-13                            -1.4332457460748311E-13-2.404825557696414i        2.404825557696414
379.26901907322497                                1.2344902049382349E-13                            2.005798359660324E-13-2.4048255576543074i         2.4048255576543074
784.7599703514607                                 1.2344902049382349E-13                            -1.7039196663269985E-14-2.404825557699758i        2.404825557699758
1623.776739188721                                 1.2344902049382349E-13                            -2.3005269802367634E-14-2.4048255576949114i       2.4048255576949114
3359.818286283781                                 1.2344902049382349E-13                            5.070268573043923E-14-2.4048255576915034i         2.4048255576915034
6951.927961775606                                 1.2344902049382349E-13                            3.5052037957656892E-15-2.404825557695685i         2.404825557695685
14384.498882876629                                1.2344902049382349E-13                            8.663706562482834E-15-2.404825557696507i          2.404825557696507
29763.51441631313                                 1.2344902049382349E-13                            -3.5296540037709334E-14-2.404825557695456i        2.404825557695456
61584.82110660255                                 1.2344902049382349E-13                            -6.7893495935742915E-15-2.4048255577072277i       2.4048255577072277
127427.49857031321                                1.2344902049382349E-13                            -3.8114159669465605E-14-2.404825557702654i        2.404825557702654
263665.08987303555                                1.2344902049382349E-13                            4.5532074094142914E-14-2.4048255576965394i        2.4048255576965394
545559.4781168514                                 1.2344902049382349E-13                            -5.247637358562392E-14-2.404825557697349i         2.404825557697349
1128837.8916846884                                1.2344902049382349E-13                            -6.310216103930167E-14-2.4048255576953093i        2.4048255576953093
2335721.4690901213                                1.2344902049382349E-13                            6.047521983040552E-14-2.404825557703498i          2.404825557703498
4832930.238571752                                 1.2344902049382349E-13                            9.410787034997819E-15-2.4048255576957787i         2.4048255576957787
10000000                                          1.2344902049382349E-13                            9.987062414410556E-14-2.404825557699718i          2.404825557699718
