% Model:              Testfile_Circle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:31
% Table:              GS_Full_N - GS_Rot_Full_N (lambda, abs(lambda))
% Omega                                           lambda                                            Eigenwert                                         abs(lambda)
10                                                3.652087639371004E-4                              -4.033572106247985E-7-1.8411838025554041i         1.8411838025554483
20.6913808111479                                  3.652087639371004E-4                              -3.406828982602815E-7-1.8411837894506715i         1.841183789450703
42.81332398719393                                 3.652087639371004E-4                              7.594078771755902E-6                              7.594078771755902E-6
88.58667904100822                                 3.652087639371004E-4                              5.626740963908441E-6                              5.626740963908441E-6
183.29807108324357                                3.652087639371004E-4                              5.869664067553765E-6                              5.869664067553765E-6
379.26901907322497                                3.652087639371004E-4                              1.8824566517491225E-6-1.8411837715020192i         1.8411837715029815
784.7599703514607                                 3.652087639371004E-4                              1.1442931553972441E-17+2.775390533544796E-6i      2.775390533544796E-6
1623.776739188721                                 3.652087639371004E-4                              -5.968386044605815E-7-1.8411837517531917i         1.8411837517532885
3359.818286283781                                 3.652087639371004E-4                              -1.629887328114495E-5+1.8411837156749626i         1.8411837157471047
6951.927961775606                                 3.652087639371004E-4                              -1.0092796174817561E-5+1.841213132198277i         1.8412131322259393
14384.498882876629                                3.652087639371004E-4                              2.3050566658154442E-5+3.0543504598220816i         3.0543504599090605
29763.51441631313                                 3.652087639371004E-4                              0.04189421453982182+0.32784108724084465i          0.33050704031104655
61584.82110660255                                 3.652087639371004E-4                              4.921482649259247E-16+6.2317898065517105E-6i      6.2317898065517105E-6
127427.49857031321                                3.652087639371004E-4                              -8.380904803377566E-16+6.274495900154045E-6i      6.274495900154045E-6
263665.08987303555                                3.652087639371004E-4                              2.935037663954079E-4+3.0564765509440663i          3.056476565036185
545559.4781168514                                 3.652087639371004E-4                              1.9024041041139455E-15+6.301626927238176E-6i      6.301626927238176E-6
1128837.8916846884                                3.652087639371004E-4                              3.263483784089669E-15+1.050005219117957E-6i       1.050005219117957E-6
2335721.4690901213                                3.652087639371004E-4                              -3.62960617085451E-7+1.8490101472736704i          1.849010147273706
4832930.238571752                                 3.652087639371004E-4                              -4.7002264281056425E-5+1.8574909264123842i        1.8574909270070608
10000000                                          3.652087639371004E-4                              6.285602255891121E-5+1.808516799790126i           1.8085168008824242
