% Model:              Testfile_Circle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:31
% Table:              MS_Full_D - MS_Rot_Full_D (lambda, abs(lambda))
% Omega                                           lambda                                            Eigenwert                                         abs(lambda)
10                                                -3.649809975469405E-12-9.678338822451281E-13i     3.704431900657154E-12+5.135622368544463i          5.135622368544463
20.6913808111479                                  2.443936315984898E-11+2.6745359061427674E-11i     -6.797905253398718E-12+5.135622439894516i         5.135622439894516
42.81332398719393                                 -6.297056665100181E-12+2.1860933798549E-11i       -1.1611190806367061E-11+5.135622587455126i        5.135622587455126
88.58667904100822                                 9.968675850977885E-12-7.269738551218589E-12i      3.2804016527922045E-12+5.13562289283154i          5.13562289283154
183.29807108324357                                2.4039446269694282E-11+4.688639297324351E-11i     -1.2242624882894323E-11+5.135623524659675i        5.135623524659675
379.26901907322497                                -3.22942090430108E-11+5.621332298095757E-11i      -3.433416951434739E-11+5.135624832058362i         5.135624832058362
784.7599703514607                                 -4.822154813392866E-11+1.0269048453653998E-11i    -7.826249912248809E-13+5.135627537214862i         5.135627537214862
1623.776739188721                                 1.707632016411124E-11-2.1347631537216034E-12i     5.7309198501614075E-11+5.135633134592814i         5.135633134592814
3359.818286283781                                 3.703036912623011E-12-7.782198328700625E-12i      4.632841921776355E-12+5.135644716236801i          5.135644716236801
6951.927961775606                                 2.2759173444473807E-11+4.8729363758139333E-11i    2.2088160550155543E-11+5.135668680543052i         5.135668680543052
14384.498882876629                                -3.0918551949461306E-13-9.523520749425376E-12i    3.161480437517817E-12+5.135718266680356i          5.135718266680356
29763.51441631313                                 -1.816028255205141E-11+4.235443752947734E-12i     -1.4739237690169687E-11+5.135820870321114i        5.135820870321114
61584.82110660255                                 2.077160071112119E-11-9.639330436154235E-12i      7.982039389768642E-12+5.136033184412225i          5.136033184412225
127427.49857031321                                -9.50323340538981E-13-1.4783946065654633E-11i     6.477733659057113E-12+5.1364725473578385i         5.1364725473578385
263665.08987303555                                -7.610895655785578E-12-6.085832294624415E-12i     2.9352767924553286E-12+5.137381888460893i         5.137381888460893
545559.4781168514                                 4.624022876551651E-12-2.6724728912464564E-12i     -1.6669612226019712E-12+5.139264462260404i        5.139264462260404
1128837.8916846884                                9.562087462674054E-13-1.5451206940775278E-11i     -2.1782819027241823E-13+5.143164140673985i        5.143164140673985
2335721.4690901213                                1.0517433823998492E-11-4.296547443871919E-12i     2.7045423808261354E-12+5.151251836926252i         5.151251836926252
4832930.238571752                                 7.090400418775433E-12-2.382335475086538E-12i      1.4837954419474658E-12+5.1680665546989655i        5.1680665546989655
10000000                                          1.7837769898168075E-11-7.51315544954061E-12i      6.171800927712695E-13+5.203201661390654i          5.203201661390654
