% Model:              Testfile_Circle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:31
% Table:              MS_Full_N - MS_Rot_Full_N (lambda, abs(lambda))
% Omega                                           lambda                                            Eigenwert                                         abs(lambda)
10                                                2.090626749276784E-4-2.812456190662398E-6i        1.3670191351907277E-5+3.0542368493591385i         3.054236849389731
20.6913808111479                                  -1.7724538509055145                               8.635101616967253E-6                              8.635101616967253E-6
42.81332398719393                                 -9.042171241270915E-5-9.8239164901121E-7i         1.2147026123359966E-5+1.841183779085619i          1.8411837791256884
88.58667904100822                                 -4.021180011580641E-4-1.020017898296625E-6i       6.50119958128001E-5+3.0542366761963824i           3.0542366768883
183.29807108324357                                -4.936754981719142E-4+1.9391292362046556E-4i      6.899946627939708E-6+3.0542475206824102i          3.054247520690204
379.26901907322497                                -1.7724538509055145                               6.958461277480793E-6                              6.958461277480793E-6
784.7599703514607                                 -0.0048397077489693375+7.061979091580773E-6i      9.639321453742953E-5+3.0542367971121784i          3.054236798633287
1623.776739188721                                 -2.6493990568306826E-4-5.442664008924868E-6i      8.28448448469051E-6+3.0542364967084925i           3.054236496719728
3359.818286283781                                 -0.0025666787690267106+1.6912795606639994E-4i     1.6638133994799814E-4+3.054236410980661i          3.054236415512522
6951.927961775606                                 -0.0026634964214638022-3.3988605017817035E-5i     7.076849174545845E-5+3.054097397318106i           3.0540973981380177
14384.498882876629                                -0.031872435939944-8.758082469203063E-5i          7.730872997508507E-4+3.0542028928349523i          3.054202990677824
29763.51441631313                                 -1.7121427766667439                               0.48169496666523964                               0.48169496666523964
61584.82110660255                                 -2.9305537096512923E-5+1.8334605497699846E-4i     5.251567204098193E-6+1.8413786329418356i          1.8413786329493242
127427.49857031321                                2.022987676154333E-4-1.5199615883072353E-4i       4.4087428517631E-6+1.841609451551053i             1.8416094515563302
263665.08987303555                                -0.002228814706523852+3.974066373130276E-4i       3.1973231240420465E-4+1.8420162295045839i         1.8420162572537289
545559.4781168514                                 1.0732904266909477E-4-7.416127467733384E-5i       1.200399711157486E-5+1.8430053429242315i          1.8430053429633242
1128837.8916846884                                -0.004593338741653212-0.0029463911177827354i      4.927127349249857E-4+3.0463199160351038i          3.0463199558808594
2335721.4690901213                                -1.7724538509055066+9.401377608402104E-16i        8.0926707666442E-15+6.305543419186883E-6i         6.305543419186883E-6
4832930.238571752                                 -1.7724538509054775-8.159328487683569E-16i        1.0272618017999716E-14+7.208677585731731E-7i      7.208677585731732E-7
10000000                                          -0.0011960984974030721+0.0021506473292647985i     1.4939493739085454E-4+3.1225322979042955i         3.122532301478133
