% Model:              Testfile_Circle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:30
% Table:              GS_Lin_D - GS_Rot_Lin_D (lambda, abs(lambda))
% Omega                                           lambda                                            Eigenwert                                         abs(lambda)
10                                                7.858248067838124E-14                             7.858248067838124E-14-2.4048255576971744i         2.4048255576971744
20.6913808111479                                  7.858248067838124E-14                             2.3515437286070308E-14-2.404825557695276i         2.404825557695276
42.81332398719393                                 7.858248067838124E-14                             -4.6379707175081004E-14-2.404825557696297i        2.404825557696297
88.58667904100822                                 7.858248067838124E-14                             -4.090520232046833E-14-2.4048255576966744i        2.4048255576966744
183.29807108324357                                7.858248067838124E-14                             -9.734791852210045E-14-2.4048255577153888i        2.4048255577153888
379.26901907322497                                7.858248067838124E-14                             2.0372373019806602E-13-2.404825557705853i         2.404825557705853
784.7599703514607                                 7.858248067838124E-14                             1.2446815443589476E-13-2.4048255576962356i        2.4048255576962356
1623.776739188721                                 7.858248067838124E-14                             2.2251816087096266E-14-2.404825557693698i         2.404825557693698
3359.818286283781                                 7.858248067838124E-14                             4.7427804264106873E-14-2.4048255576979956i        2.4048255576979956
6951.927961775606                                 7.858248067838124E-14                             -1.0168073410721655E-14-2.4048255576968063i       2.4048255576968063
14384.498882876629                                7.858248067838124E-14                             1.1078784795158664E-14-2.4048255576958137i        2.4048255576958137
29763.51441631313                                 7.858248067838124E-14                             -1.4397536475155813E-14-2.4048255576974866i       2.4048255576974866
61584.82110660255                                 7.858248067838124E-14                             2.726964919280476E-14-2.404825557703868i          2.404825557703868
127427.49857031321                                7.858248067838124E-14                             5.2635515377022066E-15-2.4048255576966127i        2.4048255576966127
263665.08987303555                                7.858248067838124E-14                             1.428798859025391E-13-2.404825557693527i          2.404825557693527
545559.4781168514                                 7.858248067838124E-14                             2.2389418248383323E-14-2.4048255576961135i        2.4048255576961135
1128837.8916846884                                7.858248067838124E-14                             -8.060774878900184E-14-2.4048255576965207i        2.4048255576965207
2335721.4690901213                                7.858248067838124E-14                             -1.9346937094904315E-14-2.4048255576967756i       2.4048255576967756
4832930.238571752                                 7.858248067838124E-14                             2.0028537844290036E-14-2.40482555769599i          2.40482555769599
10000000                                          7.858248067838124E-14                             2.411222085765131E-14-2.404825557697192i          2.404825557697192
