% Model:              Testfile_Circle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:30
% Table:              GS_Lin_N - GS_Rot_Lin_N (lambda, abs(lambda))
% Omega                                           lambda                                            Eigenwert                                         abs(lambda)
10                                                -5.1951598071332746E-15                           2.566884868062774E-5-1.8412100958441513i          1.8412100960230797
20.6913808111479                                  -5.1951598071332746E-15                           2.719038502265422E-4-1.8411847797816698i          1.8411847998588788
42.81332398719393                                 -5.1951598071332746E-15                           -1.9140473938531472E-4-1.841184317698149i         1.8411843276471187
88.58667904100822                                 -5.1951598071332746E-15                           -1.826584878371845E-5-1.84117496894618i           1.8411749690367856
183.29807108324357                                -5.1951598071332746E-15                           -1.556691380726787E-17-1.0804321313131945E-6i     1.0804321313131945E-6
379.26901907322497                                -5.1951598071332746E-15                           2.5324811812531147E-16-1.0151733291249267E-6i     1.0151733291249267E-6
784.7599703514607                                 -5.1951598071332746E-15                           5.134257324309276E-16-1.0180296560554422E-6i      1.0180296560554422E-6
1623.776739188721                                 -5.1951598071332746E-15                           3.165119239710523E-5-1.8411832768633771i          1.84118327713543
3359.818286283781                                 -5.1951598071332746E-15                           2.2145915580531908E-15-1.0594031082095829E-6i     1.0594031082095829E-6
6951.927961775606                                 -5.1951598071332746E-15                           -5.070902023746297E-16-1.0116656472437975E-6i     1.0116656472437975E-6
14384.498882876629                                -5.1951598071332746E-15                           -1.9729413774098796E-5-1.8412496555923241i        1.8412496556980267
29763.51441631313                                 -5.1951598071332746E-15                           1.5891514431092406E-4-1.840989793871898i          1.8409898007307146
61584.82110660255                                 -5.1951598071332746E-15                           -7.608076940266443E-5-1.8411843963923682i         1.8411843979642595
127427.49857031321                                -5.1951598071332746E-15                           1.5097115463973948E-4-3.053091109565618i          3.053091113298276
263665.08987303555                                -5.1951598071332746E-15                           2.017453104057775E-15-1.0117775493521594E-6i      1.0117775493521594E-6
545559.4781168514                                 -5.1951598071332746E-15                           1.525664884202764E-15-1.0146343611690473E-6i      1.0146343611690473E-6
1128837.8916846884                                -5.1951598071332746E-15                           7.346617268053313E-5-1.845056068334708i           1.8450560697973406
2335721.4690901213                                -5.1951598071332746E-15                           7.117857775340728E-15-7.596042091697842E-7i       7.596042091697842E-7
4832930.238571752                                 -5.1951598071332746E-15                           -3.330965141368951E-5-1.8573743268640734i         1.8573743271627565
10000000                                          -5.1951598071332746E-15                           3.712401762352232E-14-1.0151418963887834E-6i      1.015141896388784E-6
