% Model:              Testfile_Circle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:31
% Table:              MS_Lin_D - MS_Rot_Lin_D (lambda, abs(lambda))
% Omega                                           lambda                                            Eigenwert                                         abs(lambda)
10                                                1.4641699090131505E-11-7.41139082247423E-12i      -2.254427864004817E-12+5.1356223685596305i        5.1356223685596305
20.6913808111479                                  8.077962257033282E-13+2.254390004199907E-11i      6.460289939892983E-12+5.135622439899052i          5.135622439899052
42.81332398719393                                 9.304664364231832E-12+2.104063612924443E-12i      -1.8236623521725047E-12+5.135622587463581i        5.135622587463581
88.58667904100822                                 6.281378816553575E-12-3.4829178041695022E-12i     -6.619583252934303E-12+5.135622892832195i         5.135622892832195
183.29807108324357                                1.8425804512290727E-11+5.2596234117045374E-11i    -1.1022531368009706E-11+5.1356235246662205i       5.1356235246662205
379.26901907322497                                -3.210183234151051E-11+6.575075012990493E-11i     -3.163694423304393E-11+5.135624832058896i         5.135624832058896
784.7599703514607                                 -4.7629523517639013E-11+1.517486631521523E-11i    -5.35208100250759E-12+5.135627537207972i          5.135627537207972
1623.776739188721                                 7.238510610410745E-12-5.816329140831357E-12i      5.812583637313804E-11+5.135633134585839i          5.135633134585839
3359.818286283781                                 -1.7051638056756207E-11+6.736678288079015E-12i    1.8743199108738073E-12+5.135644716183059i         5.135644716183059
6951.927961775606                                 1.3726077927588336E-11+3.0380259283756273E-11i    1.2760651703801781E-11+5.135668680335405i         5.135668680335405
14384.498882876629                                1.2483943744646754E-11-2.0380288202773243E-12i    -7.504518667806123E-12+5.135718265784641i         5.135718265784641
29763.51441631313                                 -9.279889850982088E-12-6.26200221758949E-12i      -9.442488052813327E-12+5.135820866478192i         5.135820866478192
61584.82110660255                                 -9.37400232501649E-13+1.3040601909951322E-11i     1.5547746667128953E-13+5.136033167974724i         5.136033167974724
127427.49857031321                                3.5704718610708105E-12-6.649757890966894E-12i     8.393891255390773E-12+5.1364724769903916i         5.1364724769903916
263665.08987303555                                -1.0409007554434835E-11-1.1956223167412852E-11i   1.0595961889312645E-11+5.137381587229493i         5.137381587229493
545559.4781168514                                 5.749278858065588E-12+6.093656906740827E-12i      -5.094082397565387E-13+5.139263172585748i         5.139263172585748
1128837.8916846884                                1.3399678522842572E-12-3.150631626605313E-11i     -2.836212078148289E-12+5.143158619160175i         5.143158619160175
2335721.4690901213                                6.778767835495762E-12+2.009047041682531E-11i      1.7533029888251382E-12+5.151228197623263i         5.151228197623263
4832930.238571752                                 8.715373001925503E-13-1.7851091060127485E-11i     1.597190624804892E-12+5.16796534928988i           5.16796534928988
10000000                                          1.9508951651506774E-11-5.427975663575275E-12i     3.972477874714911E-13+5.202768409410915i          5.202768409410915
