% Model:              Testfile_Circle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:31
% Table:              MS_Lin_N - MS_Rot_Lin_N (lambda, abs(lambda))
% Omega                                           lambda                                            Eigenwert                                         abs(lambda)
10                                                -0.01460630356886411-0.002858435751302678i        2.1610746918163196E-4+3.0535642690866043i         3.053564276733805
20.6913808111479                                  -0.005740371667546422-2.8394484670477785E-4i      0.0021551901142966554+3.054243106808632i          3.0542438672006
42.81332398719393                                 -8.476492033402758E-4-6.182818624814013E-5i       2.9139475150405545E-6+1.8411849833930054i         1.8411849833953113
88.58667904100822                                 -0.13953412887278221+2.597414024900974E-4i        2.489166993512051E-4+3.0545201323568563i          3.054520142499124
183.29807108324357                                -0.07887120500072076-0.002155922695803622i        0.0011615364329713006+3.0551071361628073i         3.0551073569679668
379.26901907322497                                0.0035451021040945013+2.445292364593809E-4i       4.3846691718174466E-4+3.0542328977683333i         3.0542329292415777
784.7599703514607                                 -4.3945007994536703E-4-9.916873733436216E-4i      4.67807666708688E-4+3.0536766142850085i           3.053676650117881
1623.776739188721                                 -0.01326848824551864-9.104985309620014E-5i        0.002482136752410514+3.0542287219545807i          3.05422973055649
3359.818286283781                                 -0.060781369362261216-0.0010694665389607064i      8.291029157306773E-4+3.054463187877067i           3.0544633004028348
6951.927961775606                                 -0.006104506653703653+0.0015493306467607192i      8.067107374035446E-4+3.0538799112924635i          3.053880017842528
14384.498882876629                                -0.005143097689046491-1.5871391089227962E-5i      6.785238950392224E-4+3.0542366230212723i          3.0542366983911156
29763.51441631313                                 -0.14064757233960443+0.0010154805902001832i       0.0011839194718367035+3.054413706516343i          3.054413935965494
61584.82110660255                                 -0.013157222799647391-7.795077746991055E-5i       9.792931439241257E-4+1.8411832008620224i          1.8411834612964522
127427.49857031321                                0.0022716373535213398+0.002811064257140015i       2.637275031948347E-4+1.840868318145204i           1.8408683370363421
263665.08987303555                                -0.01802667883479925-0.002157406583323588i        1.7384363604359883E-4+1.8421408227948601i         1.84214083099771
545559.4781168514                                 -0.0015881581915878095+8.93858706951677E-4i       1.1528535601245092E-4+1.8428314746865544i         1.842831478292612
1128837.8916846884                                -0.010953592884939658+0.0011274021147005423i      5.484497600169107E-4+3.0469397716357505i          3.0469398209962826
2335721.4690901213                                -0.010885635509000102-0.001216619904632664i       5.706835364492391E-5+1.8333311636031209i          1.8333311644913393
4832930.238571752                                 -0.008357488657003273+0.002166023527845301i       2.1350504339598408E-5+1.8251317557145386i         1.8251317558394182
10000000                                          1.8095842033420207E-4+1.9309342480406945E-4i      1.5235568211337403E-5+1.8748472204364985i         1.874847220498403
