% Model:              ID1_2_P5_N_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 19:59
% Table:              EV_Stat_Dia - EV_Stat_Dia (lambda, abs(lambda))
% n                                               lambda
2.42                                              -0.5636213554144874
2.42                                              -3.9165846521527214E-7
2.42                                              -0.42500035968902233
2.42                                              3.588072556848232E-7
2.42                                              -0.37170978488718015
2.42                                              -1.001497756947245E-6
2.42                                              -0.18988063530593954
2.42                                              -6.381086026241434E-7
2.42                                              -1.1923835240541545E-4i
2.42                                              9.054810875992825
2.42                                              1.1923835240541545E-4i
2.42                                              9.054810875992825
2.42                                              0.18988063530593954
2.42                                              -6.381086026241434E-7
2.42                                              0.37170978488718015
2.42                                              -1.001497756947245E-6
2.42                                              0.42500035968902233
2.42                                              3.588072556848232E-7
2.42                                              0.5636213554144874
2.42                                              -3.9165846521527214E-7
2.42                                              -0.9179510184754563
2.42                                              -7.376235994227542E-8
2.42                                              -0.8674070128773425
2.42                                              1.658831321194043E-7
2.42                                              -0.7609639525405534
2.42                                              2.288951668205641E-7
2.42                                              -0.6824927782655068
2.42                                              -2.2087354012434446E-7
2.42                                              -0.6490893906605094
2.42                                              -7.013852537651744E-8
2.42                                              0.6490893906605094
2.42                                              -7.013852537651744E-8
2.42                                              0.6824927782655068
2.42                                              -2.2087354012434446E-7
2.42                                              0.7609639525405534
2.42                                              2.288951668205641E-7
2.42                                              0.8674070128773425
2.42                                              1.658831321194043E-7
2.42                                              0.9179510184754563
2.42                                              -7.376235994227542E-8
