% Model:              ID2_1_P5_GPM_D_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 12:54
% Table:              EV_Static_Diamond - EV_Static_Diamond (lambda, abs(lambda))
% n                                               lambda
2.42                                              -1.3818416939214837
2.42                                              2.9598987059366424
2.42                                              -1.3744850399868753
2.42                                              1.5262212685980265
2.42                                              -1.362277863984833
2.42                                              3.300192153668713
2.42                                              -1.0616652618759772
2.42                                              0.012937327082621186
2.42                                              -1.0567559580712726
2.42                                              5.930424277334787
2.42                                              1.0567559580712726
2.42                                              5.930424277334787
2.42                                              1.0616652618759772
2.42                                              0.012937327082621186
2.42                                              1.362277863984833
2.42                                              3.300192153668713
2.42                                              1.3744850399868753
2.42                                              1.5262212685980265
2.42                                              1.3818416939214837
2.42                                              2.9598987059366424
2.42                                              -1.5442513625176328
2.42                                              1.8486314394203012
2.42                                              -1.5243936505196158
2.42                                              1.3007358510367109
2.42                                              -1.5243927272895272
2.42                                              1.3243263539947958
2.42                                              -1.5243921822623603
2.42                                              1.2850625288552113
2.42                                              -1.406724277341187
2.42                                              1.9773288582950188
2.42                                              1.406724277341187
2.42                                              1.9773288582950188
2.42                                              1.5243921822623603
2.42                                              1.2850625288552113
2.42                                              1.5243927272895272
2.42                                              1.3243263539947958
2.42                                              1.5243936505196158
2.42                                              1.3007358510367109
2.42                                              1.5442513625176328
2.42                                              1.8486314394203012
