% Model:              ID2_1_P5_GPM_N_Rot_Batch.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 15:10
% Table:              EV_Stat_Dia - EV_Stat_Dia (lambda, abs(lambda))
% n                                               lambda
2.42                                              -0.3240775035190745
2.42                                              -5.42432765371359E-12
2.42                                              -0.23582244518699882
2.42                                              -6.009692743447204E-12
2.42                                              -0.17037221340113778
2.42                                              -1.1837086866250957E-11
2.42                                              -0.09440593201654232
2.42                                              -2.2954971257149737E-12
2.42                                              -9.925786545260605E-7
2.42                                              10.123586321062307
2.42                                              9.925786545260605E-7
2.42                                              10.123586321062307
2.42                                              0.09440593201654232
2.42                                              -2.2954971257149737E-12
2.42                                              0.17037221340113778
2.42                                              -1.1837086866250957E-11
2.42                                              0.23582244518699882
2.42                                              -6.009692743447204E-12
2.42                                              0.3240775035190745
2.42                                              -5.42432765371359E-12
2.42                                              -0.5442527107167093
2.42                                              -2.318145675417327E-13
2.42                                              -0.5046024219341364
2.42                                              -2.0519141941122143E-12
2.42                                              -0.473716425394943
2.42                                              8.197331702319843E-13
2.42                                              -0.47363062216089163
2.42                                              -6.231126725708691E-13
2.42                                              -0.4735602007766569
2.42                                              -2.0816681711721685E-13
2.42                                              0.4735602007766569
2.42                                              -2.0816681711721685E-13
2.42                                              0.47363062216089163
2.42                                              -6.231126725708691E-13
2.42                                              0.473716425394943
2.42                                              8.197331702319843E-13
2.42                                              0.5046024219341364
2.42                                              -2.0519141941122143E-12
2.42                                              0.5442527107167093
2.42                                              -2.318145675417327E-13
