% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              EV_Stat_N - EV_Stat_N (lambda, abs(lambda))
% Eigenwert (rad/s)                               Eigenwert                                         abs(lambda)
-6.28318530717896                                 -6.28318530717896                                 6.28318530717896
-1.0928410953958689E-13                           -4.44288293815883                                 4.44288293815883
-4.44288293815883                                 -3.141592653588049                                3.141592653588049
4.911765438819771E-13                             -3.141592653591226                                3.141592653591226
-3.141592653588049                                -2.271171125326895E-6i                            2.271171125326895E-6
3.2357450052700187E-13                            2.271171125326895E-6i                             2.271171125326895E-6
-3.141592653591226                                3.141592653588049                                 3.141592653588049
2.0048372684211557E-12                            3.141592653591226                                 3.141592653591226
-2.271171125326895E-6i                            4.44288293815883                                  4.44288293815883
0.9999999999999991                                6.28318530717896                                  6.28318530717896
2.271171125326895E-6i                             -9.424777960768795                                9.424777960768795
0.9999999999999991                                -8.88576587631629                                 8.88576587631629
3.141592653588049                                 -7.024814731040072                                7.024814731040072
3.2357450052700187E-13                            -7.024814731041234                                7.024814731041234
3.141592653591226                                 -6.283185307179245                                6.283185307179245
2.0048372684211557E-12                            6.283185307179245                                 6.283185307179245
4.44288293815883                                  7.024814731040072                                 7.024814731040072
4.911765438819771E-13                             7.024814731041234                                 7.024814731041234
6.28318530717896                                  8.88576587631629                                  8.88576587631629
-1.0928410953958689E-13                           9.424777960768795                                 9.424777960768795
