% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_EV_D - Full_EV_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)
10                                                1.4487868169617614E-14-4.442882938152714i
10                                                -0.8105694691385936
10                                                1.4487868169617614E-14+4.442882938152714i
10                                                -0.8105694691385936
10                                                5.494432830598269E-12-7.024814698997128i
10                                                -2.3741765292388246E-8-1.9672317551775954E-15i
10                                                5.494432830598269E-12+7.024814698997128i
10                                                -2.3741765292388246E-8+1.9672317551775954E-15i
10                                                -5.843186885383035E-12-7.024814763087908i
10                                                -2.374169540176025E-8+6.111877018521566E-15i
10                                                -5.843186885383035E-12+7.024814763087908i
10                                                -2.374169540176025E-8-6.111877018521566E-15i
10                                                -4.254270638167569E-14-8.885765876322044i
10                                                -1.0355352115542251E-12+4.478485719227899E-17i
10                                                -4.254270638167569E-14+8.885765876322044i
10                                                -1.0355352115542251E-12-4.478485719227899E-17i
10                                                1.650169479333173E-11-9.934588265793819i
10                                                -0.36194428648816446
10                                                1.650169479333173E-11+9.934588265793819i
10                                                -0.36194428648816446
20.6913808111479                                  3.7986863802958564E-14-4.442882938144445i
20.6913808111479                                  -0.8105694691385805
20.6913808111479                                  3.7986863802958564E-14+4.442882938144445i
20.6913808111479                                  -0.8105694691385805
20.6913808111479                                  1.7727648070176625E-12-7.024814664729258i
20.6913808111479                                  -4.913052026711742E-8+2.357600831876145E-15i
20.6913808111479                                  1.7727648070176625E-12+7.024814664729258i
20.6913808111479                                  -4.913052026711742E-8-2.357600831876145E-15i
20.6913808111479                                  -1.8144961167762107E-12-7.02481479733768i
20.6913808111479                                  -4.9121127506481946E-8+1.0750257335179453E-15i
20.6913808111479                                  -1.8144961167762107E-12+7.02481479733768i
20.6913808111479                                  -4.9121127506481946E-8-1.0750257335179453E-15i
20.6913808111479                                  2.960574613251596E-14-8.885765876303548i
20.6913808111479                                  -1.1517551356921575E-12-3.5600999913890156E-17i
20.6913808111479                                  2.960574613251596E-14+8.885765876303548i
20.6913808111479                                  -1.1517551356921575E-12+3.5600999913890156E-17i
20.6913808111479                                  -9.272528839668347E-13-9.93458826579537i
20.6913808111479                                  -0.3619442864352232+3.0180770880703887E-15i
20.6913808111479                                  -9.272528839668347E-13+9.93458826579537i
20.6913808111479                                  -0.3619442864352232-3.0180770880703887E-15i
42.81332398719393                                 6.107849337685923E-14-4.442882938143649i
42.81332398719393                                 -0.810569469138706
42.81332398719393                                 6.107849337685923E-14+4.442882938143649i
42.81332398719393                                 -0.810569469138706
42.81332398719393                                 -7.972292811039968E-13-7.02481459383854i
42.81332398719393                                 -1.0164209283632369E-7-1.274373093041479E-15i
42.81332398719393                                 -7.972292811039968E-13+7.02481459383854i
42.81332398719393                                 -1.0164209283632369E-7+1.274373093041479E-15i
42.81332398719393                                 8.370637123419811E-13-7.024814868225409i
42.81332398719393                                 -1.0165186628542451E-7+8.895821716694073E-16i
42.81332398719393                                 8.370637123419811E-13+7.024814868225409i
42.81332398719393                                 -1.0165186628542451E-7-8.895821716694073E-16i
42.81332398719393                                 2.8702476023711157E-13-8.885765876309687i
42.81332398719393                                 -1.1158157235271911E-12+1.2047184619352934E-15i
42.81332398719393                                 2.8702476023711157E-13+8.885765876309687i
42.81332398719393                                 -1.1158157235271911E-12-1.2047184619352934E-15i
42.81332398719393                                 -2.910541041412993E-12-9.934588265788012i
42.81332398719393                                 -0.3619442864009683+3.575926707576307E-15i
42.81332398719393                                 -2.910541041412993E-12+9.934588265788012i
42.81332398719393                                 -0.3619442864009683-3.575926707576307E-15i
88.58667904100822                                 5.251015675359201E-15-4.442882938165974i
88.58667904100822                                 -0.8105694691388186
88.58667904100822                                 5.251015675359201E-15+4.442882938165974i
88.58667904100822                                 -0.8105694691388186
88.58667904100822                                 -6.48432993572911E-12-7.02481444716572i
88.58667904100822                                 -2.1032375836676023E-7+5.7879673429677544E-15i
88.58667904100822                                 -6.48432993572911E-12+7.02481444716572i
88.58667904100822                                 -2.1032375836676023E-7-5.7879673429677544E-15i
88.58667904100822                                 6.450729201833597E-12-7.024815014910728i
88.58667904100822                                 -2.1031859435006088E-7+4.9229445392250446E-15i
88.58667904100822                                 6.450729201833597E-12+7.024815014910728i
88.58667904100822                                 -2.1031859435006088E-7-4.9229445392250446E-15i
88.58667904100822                                 -5.542959845513608E-14-8.885765876311167i
88.58667904100822                                 -1.175383220350905E-12-1.7856591177679876E-17i
88.58667904100822                                 -5.542959845513608E-14+8.885765876311167i
88.58667904100822                                 -1.175383220350905E-12+1.7856591177679876E-17i
88.58667904100822                                 7.1840085512748535E-12-9.934588265793584i
88.58667904100822                                 -0.36194428631201453+3.841207151958784E-16i
88.58667904100822                                 7.1840085512748535E-12+9.934588265793584i
88.58667904100822                                 -0.36194428631201453-3.841207151958784E-16i
183.29807108324357                                6.155950974447619E-15-4.44288293816427i
183.29807108324357                                -0.8105694691385794
183.29807108324357                                6.155950974447619E-15+4.44288293816427i
183.29807108324357                                -0.8105694691385794
183.29807108324357                                2.5715518697132352E-12-7.024814143658238i
183.29807108324357                                -4.351816866515107E-7+1.0141221951821768E-15i
183.29807108324357                                2.5715518697132352E-12+7.024814143658238i
183.29807108324357                                -4.351816866515107E-7-1.0141221951821768E-15i
