% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_EV_N - Full_EV_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                -2.318826920411875E-5-6.283158672013903i          -2.318826920411875E-5-6.283158672013903i          6.283158672056692
10                                                -0.008281765762462324+6.817468959195167E-4i       -2.318826920411875E-5+6.283158672013903i          6.283158672056692
10                                                -2.318826920411875E-5+6.283158672013903i          1.309175054716689E-15-3.6159679547518813E-6i      3.6159679547518813E-6
10                                                -0.008281765762462324-6.817468959195167E-4i       1.309175054716689E-15+3.6159679547518813E-6i      3.6159679547518813E-6
10                                                1.309175054716689E-15-3.6159679547518813E-6i      1.2809299482008237E-5-3.141592126879485i          3.1415921269055986
10                                                -1.0000000000002187                               1.2809299482008237E-5+3.141592126879485i          3.1415921269055986
10                                                1.309175054716689E-15+3.6159679547518813E-6i      1.3330332212991397E-5-3.1415934016171243i         3.1415934016454057
10                                                -1.0000000000002187                               1.3330332212991397E-5+3.1415934016171243i         3.1415934016454057
10                                                1.2809299482008237E-5-3.141592126879485i          2.812866321884033E-5-4.44288301236623i            4.442883012455273
10                                                -0.0015670647649044319-5.1039637167977346E-8i     2.812866321884033E-5+4.44288301236623i            4.442883012455273
20.6913808111479                                  -1.0048916265981818E-5                            -1.0048916265981818E-5                            1.0048916265981818E-5
20.6913808111479                                  -0.9999999999999996                               -1.9619544610952123E-6-3.141593103207986i         3.141593103208599
20.6913808111479                                  -1.9619544610952123E-6-3.141593103207986i         -1.9619544610952123E-6+3.141593103207986i         3.141593103208599
20.6913808111479                                  -3.0956588693565805E-5+3.7001760216360437E-9i     -1.0876078305352588E-6-4.442883009083707i         4.4428830090838405
20.6913808111479                                  -1.9619544610952123E-6+3.141593103207986i         -1.0876078305352588E-6+4.442883009083707i         4.4428830090838405
20.6913808111479                                  -3.0956588693565805E-5-3.7001760216360437E-9i     1.930684901126763E-6-3.141592341719119i           3.1415923417197122
20.6913808111479                                  -1.0876078305352588E-6-4.442883009083707i         1.930684901126763E-6+3.141592341719119i           3.1415923417197122
20.6913808111479                                  -1.5904152861424628E-5+1.1777136284821423E-8i     8.935269144136343E-6-6.28317903822179i            6.283179038228143
20.6913808111479                                  -1.0876078305352588E-6+4.442883009083707i         8.935269144136343E-6+6.28317903822179i            6.283179038228143
20.6913808111479                                  -1.5904152861424628E-5-1.1777136284821423E-8i     1.00489162635401E-5                               1.00489162635401E-5
42.81332398719393                                 -8.635439397637144E-6                             -8.635439397637144E-6                             8.635439397637144E-6
42.81332398719393                                 -0.9999999999999992                               -2.2528035098743046E-6-3.1415916859880433i        3.141591685988851
42.81332398719393                                 -2.2528035098743046E-6-3.1415916859880433i        -2.2528035098743046E-6+3.1415916859880433i        3.141591685988851
42.81332398719393                                 -2.4740052056971124E-5-5.436616681227208E-9i      1.1951435491516048E-6-4.442884485629958i          4.442884485630119
42.81332398719393                                 -2.2528035098743046E-6+3.1415916859880433i        1.1951435491516048E-6+4.442884485629958i          4.442884485630119
42.81332398719393                                 -2.4740052056971124E-5+5.436616681227208E-9i      4.353644682951016E-6-3.14159268169042i            3.1415926816934365
42.81332398719393                                 1.1951435491516048E-6-4.442884485629958i          4.353644682951016E-6+3.14159268169042i            3.1415926816934365
42.81332398719393                                 -4.106992573925252E-5+1.1960876988482424E-8i      6.2667720520485686E-6-6.283178824489285i          6.283178824492411
42.81332398719393                                 1.1951435491516048E-6+4.442884485629958i          6.2667720520485686E-6+6.283178824489285i          6.283178824492411
42.81332398719393                                 -4.106992573925252E-5-1.1960876988482424E-8i      8.635439404849647E-6                              8.635439404849647E-6
88.58667904100822                                 -2.1612482023749793E-6                            -2.1612482023749793E-6                            2.1612482023749793E-6
88.58667904100822                                 -0.9999999999999993                               2.161248209603449E-6                              2.161248209603449E-6
88.58667904100822                                 2.161248209603449E-6                              2.8982252343629544E-6-3.14159259986951i           3.1415925998708465
88.58667904100822                                 -0.9999999999999994                               2.8982252343629544E-6+3.14159259986951i           3.1415925998708465
88.58667904100822                                 2.8982252343629544E-6-3.14159259986951i           9.819865467485924E-5-3.1415927441525957i          3.1415927456873227
88.58667904100822                                 -0.0033025021654471114-1.8123142111723874E-7i     9.819865467485924E-5+3.1415927441525957i          3.1415927456873227
88.58667904100822                                 2.8982252343629544E-6+3.14159259986951i           1.7684442569757783E-4-4.4428824960517055i         4.442882499571262
88.58667904100822                                 -0.0033025021654471114+1.8123142111723874E-7i     1.7684442569757783E-4+4.4428824960517055i         4.442882499571262
88.58667904100822                                 9.819865467485924E-5-3.1415927441525957i          2.2961816951635054E-4-6.283165182362417i          6.283165186558113
88.58667904100822                                 -7.137336644560822E-4+4.4815467104943655E-7i      2.2961816951635054E-4+6.283165182362417i          6.283165186558113
183.29807108324357                                -9.060209129492362E-6                             -9.060209129492362E-6                             9.060209129492362E-6
183.29807108324357                                -0.9999999999999993                               -5.123383063020944E-6-4.442882800658915i          4.442882800661869
183.29807108324357                                -5.123383063020944E-6-4.442882800658915i          -5.123383063020944E-6+4.442882800658915i          4.442882800661869
183.29807108324357                                -4.704293862116593E-5-1.4711421266684549E-8i      2.5304373883762013E-6-3.141590377464624i          3.141590377465643
