% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_FS_D - Full_FS_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                1.4487868169617614E-14                            5.494432830598269E-12-7.024814698997128i          7.024814698997128
20.6913808111479                                  1.4487868169617614E-14                            1.7727648070176625E-12-7.024814664729258i         7.024814664729258
42.81332398719393                                 1.4487868169617614E-14                            -7.972292811039968E-13-7.02481459383854i          7.02481459383854
88.58667904100822                                 1.4487868169617614E-14                            -6.48432993572911E-12-7.02481444716572i           7.02481444716572
183.29807108324357                                1.4487868169617614E-14                            2.5715518697132352E-12-7.024814143658238i         7.024814143658238
379.26901907322497                                1.4487868169617614E-14                            3.676285736094888E-12-7.024813515686788i          7.024813515686788
784.7599703514607                                 1.4487868169617614E-14                            2.4144487037407318E-12-7.024812216296144i         7.024812216296144
1623.776739188721                                 1.4487868169617614E-14                            2.5298850553905424E-12-7.0248095276799205i        7.0248095276799205
3359.818286283781                                 1.4487868169617614E-14                            3.2739955897968946E-12-7.024803964515162i         7.024803964515162
6951.927961775606                                 1.4487868169617614E-14                            -4.468466341583096E-12-7.02479245342168i          7.02479245342168
14384.498882876629                                1.4487868169617614E-14                            9.836520812155538E-13-7.024768634678325i          7.024768634678325
29763.51441631313                                 1.4487868169617614E-14                            3.3777000346534373E-12-7.024719347509414i         7.024719347509414
61584.82110660255                                 1.4487868169617614E-14                            -1.0224934541673967E-12-7.0246173531139435i       7.0246173531139435
127427.49857031321                                1.4487868169617614E-14                            6.24649448095412E-12-7.024406259377768i           7.024406259377768
263665.08987303555                                1.4487868169617614E-14                            -4.368263083532086E-12-7.023969249676683i         7.023969249676683
545559.4781168514                                 1.4487868169617614E-14                            -1.247791753016548E-12-7.0230640441924805i        7.0230640441924805
1128837.8916846884                                1.4487868169617614E-14                            -3.4785174327309242E-12-7.021186909800238i        7.021186909800238
2335721.4690901213                                1.4487868169617614E-14                            1.1427071772025682E-12-7.017285338226158i         7.017285338226158
4832930.238571752                                 1.4487868169617614E-14                            -5.889630586391244E-13-7.009139232171681i         7.009139232171681
10000000                                          1.4487868169617614E-14                            -1.149818392066995E-13-6.99198674557173i          6.99198674557173
