% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_FS_N - Full_FS_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                -2.318826920411875E-5+6.283158672013903i          1.309175054716689E-15-3.6159679547518813E-6i      3.6159679547518813E-6
20.6913808111479                                  -1.9619544610952123E-6-3.141593103207986i         -1.9619544610952123E-6+3.141593103207986i         3.141593103208599
42.81332398719393                                 -2.2528035098743046E-6-3.1415916859880433i        -2.2528035098743046E-6+3.1415916859880433i        3.141591685988851
88.58667904100822                                 2.161248209603449E-6                              2.8982252343629544E-6-3.14159259986951i           3.1415925998708465
183.29807108324357                                -5.123383063020944E-6-4.442882800658915i          -5.123383063020944E-6+4.442882800658915i          4.442882800661869
379.26901907322497                                -5.878830403077331E-5+3.141637454335949i          -5.705434829392764E-5-3.1415475128712766i         3.141547513389365
784.7599703514607                                 -0.0017149475697693856+3.140732690588847i         1.3625126241303903E-13-1.3508374418519445E-6i     1.3508374418519513E-6
1623.776739188721                                 -6.86763379342708E-5+6.283138768921799i           -1.738605321167094E-5-4.44288324836089i           4.442883248394908
3359.818286283781                                 -1.261797316426602E-5+6.2831861512624405i         -8.921143152685642E-6                             8.921143152685642E-6
6951.927961775606                                 -1.60459564322482E-5+6.283174663356486i           8.050980236677443E-17-3.3967621652216347E-6i      3.3967621652216347E-6
14384.498882876629                                -6.175645396197214E-5+3.1415924647204636i         -1.8687236477097009E-6-4.442883108073065i         4.442883108073458
29763.51441631313                                 -6.214566591516155E-5+3.141592639579206i          -2.476998083700896E-5-4.442882786083944i          4.4428827861529925
61584.82110660255                                 -3.4778468194080854E-5+6.283188692559924i         -6.684604775177016E-6-3.141536485137066i          3.1415364851441776
127427.49857031321                                -1.6735152586147545E-4+3.1415926510029255i        -3.576794209750366E-5-4.442882649250592i          4.442882649394569
263665.08987303555                                -1.279878212145745E-4+3.1415925050445144i         -1.0768784369792447E-14-3.510213414796729E-6i     3.510213414796729E-6
545559.4781168514                                 -5.589254366125863E-6-4.442883475385744i          -5.589254366125863E-6+4.442883475385744i          4.44288347538926
1128837.8916846884                                -7.458268305093329E-5+3.141597112052256i          -2.6671542640743116E-5-6.2831906700237266i        6.2831906700803355
2335721.4690901213                                -3.0171060816498187E-4+3.141618170245317i         -2.5691850823863023E-6-4.4428918047635895i        4.442891804764332
4832930.238571752                                 -4.401738481903283E-5+6.28324117835206i           -9.045372759223754E-6-4.4429196589288935i         4.442919658938101
10000000                                          -2.5124727607198862E-5+3.1423760143138053i        2.1417368045604128E-13-3.434620448462232E-6i      3.4346204484622388E-6
