% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_GS_D - Full_GS_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                1.4487868169617614E-14                            1.4487868169617614E-14-4.442882938152714i         4.442882938152714
20.6913808111479                                  1.4487868169617614E-14                            3.7986863802958564E-14-4.442882938144445i         4.442882938144445
42.81332398719393                                 1.4487868169617614E-14                            6.107849337685923E-14-4.442882938143649i          4.442882938143649
88.58667904100822                                 1.4487868169617614E-14                            5.251015675359201E-15-4.442882938165974i          4.442882938165974
183.29807108324357                                1.4487868169617614E-14                            6.155950974447619E-15-4.44288293816427i           4.44288293816427
379.26901907322497                                1.4487868169617614E-14                            1.8416308107157434E-13-4.442882938159043i         4.442882938159043
784.7599703514607                                 1.4487868169617614E-14                            1.1624106928135768E-13-4.442882938152585i         4.442882938152585
1623.776739188721                                 1.4487868169617614E-14                            4.017883254635333E-14-4.442882938140501i          4.442882938140501
3359.818286283781                                 1.4487868169617614E-14                            -1.1472890353254593E-14-4.442882938081808i        4.442882938081808
6951.927961775606                                 1.4487868169617614E-14                            -2.5450233112844038E-14-4.442882937868034i        4.442882937868034
14384.498882876629                                1.4487868169617614E-14                            -1.2473214017440428E-13-4.44288293690934i         4.44288293690934
29763.51441631313                                 1.4487868169617614E-14                            -1.0160247210925216E-14-4.442882932812966i        4.442882932812966
61584.82110660255                                 1.4487868169617614E-14                            8.873324971753746E-14-4.442882915266597i          4.442882915266597
127427.49857031321                                1.4487868169617614E-14                            -7.716193342369893E-14-4.44288284015911i          4.44288284015911
263665.08987303555                                1.4487868169617614E-14                            -2.956209014652138E-13-4.442882518583939i         4.442882518583939
545559.4781168514                                 1.4487868169617614E-14                            4.635097808846354E-14-4.442881141846387i          4.442881141846387
1128837.8916846884                                1.4487868169617614E-14                            -3.083576873327378E-14-4.442875247650844i         4.442875247650844
2335721.4690901213                                1.4487868169617614E-14                            -8.733878086811464E-14-4.442850014769605i         4.442850014769605
4832930.238571752                                 1.4487868169617614E-14                            1.34722738161305E-13-4.44274202219919i            4.44274202219919
10000000                                          1.4487868169617614E-14                            -4.303414484425113E-14-4.442280362727138i         4.442280362727138
