% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_MS_D - Full_MS_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                -0.36194428648816446                              1.650169479333173E-11+9.934588265793819i          9.934588265793819
20.6913808111479                                  -0.3619442864352232-3.0180770880703887E-15i       -9.272528839668347E-13+9.93458826579537i          9.93458826579537
42.81332398719393                                 -0.3619442864009683-3.575926707576307E-15i        -2.910541041412993E-12+9.934588265788012i         9.934588265788012
88.58667904100822                                 -0.36194428631201453-3.841207151958784E-16i       7.1840085512748535E-12+9.934588265793584i         9.934588265793584
183.29807108324357                                -0.3619442860996268-1.264404762792449E-16i        -1.3036608355780725E-12+9.934588265788081i        9.934588265788081
379.26901907322497                                -0.36194428566484355+4.1747056577202657E-16i      -1.0604377766934017E-11+9.934588265801144i        9.934588265801144
784.7599703514607                                 -0.3619442847335716                               -7.300866505099407E-11+9.934588265823102i         9.934588265823102
1623.776739188721                                 -0.3619442828241299-6.899503187594224E-17i        -1.3408677272185842E-10+9.934588265579686i        9.934588265579686
3359.818286283781                                 -0.36194427883833796-1.785394747055462E-15i       -5.138660689635036E-10+9.934588266468403i         9.934588266468403
6951.927961775606                                 -0.3619442706385427-1.4491852036312004E-16i       4.848139533885335E-13+9.934588265292623i          9.934588265292623
14384.498882876629                                -0.36194425330560587-5.98287869255403E-17i        2.1068629328937222E-12+9.934588263627905i         9.934588263627905
29763.51441631313                                 -0.3619442164087744                               9.47939505551144E-12+9.934588256532546i           9.934588256532546
61584.82110660255                                 -0.38210605449515406+5.05178840746609E-17i        -3.3651008825780617E-12+9.934588208114404i        9.934588208114404
127427.49857031321                                -0.3821058676445643-6.080181039922594E-15i        1.746389878624277E-11+9.93458801877606i           9.93458801877606
263665.08987303555                                -0.3821050900739628+8.621193671707133E-16i        1.2306642195744198E-10+9.934587208485091i         9.934587208485091
545559.4781168514                                 -0.38210173254466023-4.092164337326339E-15i       1.3602720778721814E-10+9.934583737429232i         9.934583737429232
1128837.8916846884                                -0.3820873538883391-2.893254053826045E-15i        -5.1486019154475044E-9+9.934568875549918i         9.934568875549918
2335721.4690901213                                -0.3820258355166093+4.707446867429891E-16i        -8.690252941433603E-11+9.934505269779958i         9.934505269779958
4832930.238571752                                 -0.3817625422780993+1.7212473348144045E-16i       2.744804868999915E-10+9.93423307434985i           9.93423307434985
10000000                                          -0.38063739472472313+4.472809664801179E-16i       -2.71410363181912E-10+9.933069850103871i          9.933069850103871
