% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_EV_D - Lin_EV_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)
10                                                -7.226988917545986E-14-4.442882938155854i
10                                                -0.8105694691386769
10                                                -7.226988917545986E-14+4.442882938155854i
10                                                -0.8105694691386769
10                                                -2.687464864739863E-13-7.024814698997588i
10                                                -2.3747231231428157E-8+5.551238697291853E-15i
10                                                -2.687464864739863E-13+7.024814698997588i
10                                                -2.3747231231428157E-8-5.551238697291853E-15i
10                                                1.140707591411153E-13-7.024814763086286i
10                                                -2.373648770727328E-8+8.584160183879673E-15i
10                                                1.140707591411153E-13+7.024814763086286i
10                                                -2.373648770727328E-8-8.584160183879673E-15i
10                                                -3.2761840675796634E-14-8.885765876317382i
10                                                -5.78497719860873E-13+6.66809296253569E-18i
10                                                -3.2761840675796634E-14+8.885765876317382i
10                                                -5.78497719860873E-13-6.66809296253569E-18i
10                                                8.75288073710169E-14-9.934588265795787i
10                                                -0.36194428648872917+5.829773650758083E-17i
10                                                8.75288073710169E-14+9.934588265795787i
10                                                -0.36194428648872917-5.829773650758083E-17i
20.6913808111479                                  -4.02184846001029E-14-4.442882938158609i
20.6913808111479                                  -0.8105694691386572
20.6913808111479                                  -4.02184846001029E-14+4.442882938158609i
20.6913808111479                                  -0.8105694691386572
20.6913808111479                                  -2.4458843088021627E-12-7.02481466473855i
20.6913808111479                                  -4.912545801439433E-8+2.624164214650719E-15i
20.6913808111479                                  -2.4458843088021627E-12+7.02481466473855i
20.6913808111479                                  -4.912545801439433E-8-2.624164214650719E-15i
20.6913808111479                                  2.5475026872548174E-12-7.024814797346966i
20.6913808111479                                  -4.912633258372962E-8+1.0880258264475594E-15i
20.6913808111479                                  2.5475026872548174E-12+7.024814797346966i
20.6913808111479                                  -4.912633258372962E-8-1.0880258264475594E-15i
20.6913808111479                                  9.851765629540579E-14-8.885765876320331i
20.6913808111479                                  -3.722250649028612E-12+1.2767640205517553E-16i
20.6913808111479                                  9.851765629540579E-14+8.885765876320331i
20.6913808111479                                  -3.722250649028612E-12-1.2767640205517553E-16i
20.6913808111479                                  -1.7324719999643977E-13-9.934588265795032i
20.6913808111479                                  -0.36194428643449295+3.0477573439290027E-15i
20.6913808111479                                  -1.7324719999643977E-13+9.934588265795032i
20.6913808111479                                  -0.36194428643449295-3.0477573439290027E-15i
42.81332398719393                                 1.2205435956486167E-13-4.442882938158666i
42.81332398719393                                 -0.8105694691386603
42.81332398719393                                 1.2205435956486167E-13+4.442882938158666i
42.81332398719393                                 -0.8105694691386603
42.81332398719393                                 -6.637028608931632E-12-7.024814593845235i
42.81332398719393                                 -1.016433461319387E-7+1.853193866530344E-15i
42.81332398719393                                 -6.637028608931632E-12+7.024814593845235i
