% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_EV_N - Lin_EV_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                -1.2895539534715127E-5-3.1415924874553225i        -1.2895539534715127E-5-3.1415924874553225i        3.1415924874817893
10                                                -2.8303481817322523E-4+5.783182352331745E-8i      -1.2895539534715127E-5+3.1415924874553225i        3.1415924874817893
10                                                -1.2895539534715127E-5+3.1415924874553225i        4.302724101728828E-15-3.434394146153452E-6i       3.434394146153452E-6
10                                                -2.8303481817322523E-4-5.783182352331745E-8i      4.302724101728828E-15+3.434394146153452E-6i       3.434394146153452E-6
10                                                4.302724101728828E-15-3.434394146153452E-6i       3.4682595552356523E-7-6.283166437112649i          6.2831664371126585
10                                                -1.0000000000001552+3.5567680277098326E-16i       3.4682595552356523E-7+6.283166437112649i          6.2831664371126585
10                                                4.302724101728828E-15+3.434394146153452E-6i       6.790713889034997E-6-3.1415927039088976i          3.1415927039162366
10                                                -1.0000000000001552-3.5567680277098326E-16i       6.790713889034997E-6+3.1415927039088976i          3.1415927039162366
10                                                3.4682595552356523E-7-6.283166437112649i          2.570183431385759E-5-4.4428829267542715i          4.442882926828613
10                                                2.055840029320167E-4+2.71720673784006E-4i         2.570183431385759E-5+4.4428829267542715i          4.442882926828613
20.6913808111479                                  -7.587764825958568E-5-6.283118741743387i          -7.587764825958568E-5-6.283118741743387i          6.283118742201553
20.6913808111479                                  6.665927211854245E-5-1.6393250617352582E-5i       -7.587764825958568E-5+6.283118741743387i          6.283118742201553
20.6913808111479                                  -7.587764825958568E-5+6.283118741743387i          -2.9269279583612697E-5-4.4428900375884774i        4.442890037684889
20.6913808111479                                  6.665927211854245E-5+1.6393250617352582E-5i       -2.9269279583612697E-5+4.4428900375884774i        4.442890037684889
20.6913808111479                                  -2.9269279583612697E-5-4.4428900375884774i        -1.3777468110600589E-5-3.1415830350177703i        3.1415830350479808
20.6913808111479                                  -3.674625464441715E-4+1.138547613906839E-7i       -1.3777468110600589E-5+3.1415830350177703i        3.1415830350479808
20.6913808111479                                  -2.9269279583612697E-5+4.4428900375884774i        -1.1587124795861111E-15-3.4429376780791004E-6i    3.4429376780791004E-6
20.6913808111479                                  -3.674625464441715E-4-1.138547613906839E-7i       -1.1587124795861111E-15+3.4429376780791004E-6i    3.4429376780791004E-6
20.6913808111479                                  -1.3777468110600589E-5-3.1415830350177703i        5.933020723623926E-6-3.141592728796186i           3.141592728801788
20.6913808111479                                  -7.878811021196648E-5-1.0326186315620334E-9i      5.933020723623926E-6+3.141592728796186i           3.141592728801788
42.81332398719393                                 -4.850563039203361E-5-6.283182678788776i          -4.850563039203361E-5-6.283182678788776i          6.283182678976006
42.81332398719393                                 -0.012783635749700211+4.701553185917656E-4i       -4.850563039203361E-5+6.283182678788776i          6.283182678976006
42.81332398719393                                 -4.850563039203361E-5+6.283182678788776i          -1.3279302612438693E-5-3.1415925756674596i        3.141592575695525
42.81332398719393                                 -0.012783635749700211-4.701553185917656E-4i       -1.3279302612438693E-5+3.1415925756674596i        3.141592575695525
42.81332398719393                                 -1.3279302612438693E-5-3.1415925756674596i        -2.5938743102103336E-6                            2.5938743102103336E-6
42.81332398719393                                 -4.397586075986823E-4-2.991319777762532E-8i       2.5938743102103336E-6                             2.5938743102103336E-6
42.81332398719393                                 -1.3279302612438693E-5+3.1415925756674596i        5.000256865297145E-6-3.1415926952336717i          3.141592695237651
42.81332398719393                                 -4.397586075986823E-4+2.991319777762532E-8i       5.000256865297145E-6+3.1415926952336717i          3.141592695237651
42.81332398719393                                 -2.5938743102103336E-6                            1.1755645835426652E-5-4.442882943404478i          4.44288294342003
42.81332398719393                                 -0.9999999999999993                               1.1755645835426652E-5+4.442882943404478i          4.44288294342003
88.58667904100822                                 -3.511257815435388E-5-3.1415926073912637i         -3.511257815435388E-5-3.1415926073912637i         3.141592607587485
88.58667904100822                                 -1.3822085194064625E-4-5.2708882871438674E-8i     -3.511257815435388E-5+3.1415926073912637i         3.141592607587485
88.58667904100822                                 -3.511257815435388E-5+3.1415926073912637i         -2.39469520675438E-5-6.283186184699167i           6.283186184744801
88.58667904100822                                 -1.3822085194064625E-4+5.2708882871438674E-8i     -2.39469520675438E-5+6.283186184699167i           6.283186184744801
88.58667904100822                                 -2.39469520675438E-5-6.283186184699167i           -5.081429706681717E-7-3.1415926028823202i         3.1415926028823615
