% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_FS_D - Lin_FS_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                -7.226988917545986E-14                            -2.687464864739863E-13-7.024814698997588i         7.024814698997588
20.6913808111479                                  -7.226988917545986E-14                            -2.4458843088021627E-12-7.02481466473855i         7.02481466473855
42.81332398719393                                 -7.226988917545986E-14                            -6.637028608931632E-12-7.024814593845235i         7.024814593845235
88.58667904100822                                 -7.226988917545986E-14                            1.5822643025097575E-12-7.024814447168845i         7.024814447168845
183.29807108324357                                -7.226988917545986E-14                            1.3915063546062839E-11-7.0248141436726055i        7.0248141436726055
379.26901907322497                                -7.226988917545986E-14                            4.480687327226619E-12-7.024813515683234i          7.024813515683234
784.7599703514607                                 -7.226988917545986E-14                            -4.46706882929122E-12-7.02481221628973i           7.02481221628973
1623.776739188721                                 -7.226988917545986E-14                            -3.5189682229227605E-12-7.0248095276520575i       7.0248095276520575
3359.818286283781                                 -7.226988917545986E-14                            5.248907016517855E-13-7.024803964400144i          7.024803964400144
6951.927961775606                                 -7.226988917545986E-14                            -2.41172531455882E-12-7.0247924528917745i         7.0247924528917745
14384.498882876629                                -7.226988917545986E-14                            -5.7654070485399605E-12-7.0247686324167775i       7.0247686324167775
29763.51441631313                                 -7.226988917545986E-14                            8.594505563548906E-12-7.024719337810012i          7.024719337810012
61584.82110660255                                 -7.226988917545986E-14                            5.9255033051704415E-12-7.024617311587761i         7.024617311587761
127427.49857031321                                -7.226988917545986E-14                            -4.599385837540047E-12-7.024406081561095i         7.024406081561095
263665.08987303555                                -7.226988917545986E-14                            1.8075569396488311E-12-7.023968488110504i         7.023968488110504
545559.4781168514                                 -7.226988917545986E-14                            -2.1559404558555834E-13-7.023060781556815i        7.023060781556815
1128837.8916846884                                -7.226988917545986E-14                            -2.1095744408805103E-12-7.021172922554616i        7.021172922554616
2335721.4690901213                                -7.226988917545986E-14                            -1.3797000909431657E-12-7.017225286289375i        7.017225286289375
4832930.238571752                                 -7.226988917545986E-14                            -9.634270171139583E-13-7.008880624818657i         7.008880624818657
10000000                                          -7.226988917545986E-14                            1.8675146585493309E-13-6.990865915101827i         6.990865915101827
