% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_FS_N - Lin_FS_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                -1.2895539534715127E-5+3.1415924874553225i        4.302724101728828E-15-3.434394146153452E-6i       3.434394146153452E-6
20.6913808111479                                  -7.587764825958568E-5+6.283118741743387i          -2.9269279583612697E-5-4.4428900375884774i        4.442890037684889
42.81332398719393                                 -4.850563039203361E-5+6.283182678788776i          -1.3279302612438693E-5-3.1415925756674596i        3.141592575695525
88.58667904100822                                 -3.511257815435388E-5+3.1415926073912637i         -2.39469520675438E-5-6.283186184699167i           6.283186184744801
183.29807108324357                                -1.3308707375599933E-5+4.442881874644557i         -2.2241913084746733E-15-3.441451510463963E-6i     3.441451510463963E-6
379.26901907322497                                -3.335955723937699E-5+6.283125217716037i          -4.4619083018002606E-6-3.1415794711963816i        3.14157947119955
784.7599703514607                                 -2.1676364963393257E-6+3.141578297431941i         -2.2400113184122924E-6-3.14160710614388i          3.1416071061446784
1623.776739188721                                 -1.5801559568233793E-5+3.1415926671133243i        5.17416980348525E-17-3.434243509695046E-6i        3.434243509695046E-6
3359.818286283781                                 -1.3750993315154932E-5+4.442882964904465i         1.123717122180286E-15-3.339215292339894E-6i       3.339215292339894E-6
14384.498882876629                                -1.477333140756841E-5+6.283164954576677i          -3.2494640181771338E-6-3.141561148094788i         3.1415611480964682
29763.51441631313                                 -2.8976674207077704E-5+4.4428830615804396i        -2.3016442415597665E-5-6.283184876316936i         6.283184876359092
61584.82110660255                                 -2.2326392398968766E-5+4.442882848433864i         2.3090170922770966E-15-3.4859133819895023E-6i     3.4859133819895023E-6
127427.49857031321                                -4.2395511541570404E-5+4.442882666506116i         -2.5423167717493502E-5-6.283150817646762i         6.283150817698196
263665.08987303555                                -2.083457303569697E-5+4.442881031150678i          -6.550921994735252E-6-6.283166792377813i          6.283166792381228
545559.4781168514                                 -2.7450818045876535E-5+6.283174487266135i         8.194355894052777E-15-3.4633616134679524E-6i      3.4633616134679524E-6
1128837.8916846884                                -1.4607649487363718E-5+6.283152085541322i         2.2229692033049206E-15-3.4340909243560926E-6i     3.4340909243560926E-6
2335721.4690901213                                6.031888377911497E-15+3.4446940381092457E-6i      1.4213891148586343E-5-3.135259977399551i          3.1352599774317707
4832930.238571752                                 -8.16888173463609E-6+3.128434211884113i           -6.9345077193069774E-6-6.282747799105284i         6.282747799109111
10000000                                          -8.961458400162372E-6+4.44004925829104i           -3.844646287036001E-6-6.281787963320738i          6.281787963321915
