% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_GS_D - Lin_GS_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                -7.226988917545986E-14                            -7.226988917545986E-14-4.442882938155854i         4.442882938155854
20.6913808111479                                  -7.226988917545986E-14                            -4.02184846001029E-14-4.442882938158609i          4.442882938158609
42.81332398719393                                 -7.226988917545986E-14                            1.2205435956486167E-13-4.442882938158666i         4.442882938158666
88.58667904100822                                 -7.226988917545986E-14                            3.343634030667162E-13-4.44288293814774i           4.44288293814774
183.29807108324357                                -7.226988917545986E-14                            -1.352213337247531E-13-4.442882938132255i         4.442882938132255
379.26901907322497                                -7.226988917545986E-14                            -1.2347452470470593E-13-4.44288293815798i         4.44288293815798
784.7599703514607                                 -7.226988917545986E-14                            1.3410636415111705E-14-4.442882938153985i         4.442882938153985
1623.776739188721                                 -7.226988917545986E-14                            -6.068229122825705E-15-4.442882938124492i         4.442882938124492
3359.818286283781                                 -7.226988917545986E-14                            3.332873125654544E-14-4.442882938018425i          4.442882938018425
6951.927961775606                                 -7.226988917545986E-14                            2.480088169014472E-14-4.442882937557085i          4.442882937557085
14384.498882876629                                -7.226988917545986E-14                            6.155305267815251E-14-4.442882935595305i          4.442882935595305
29763.51441631313                                 -7.226988917545986E-14                            7.114520315835939E-14-4.442882927181369i          4.442882927181369
61584.82110660255                                 -7.226988917545986E-14                            -2.5432608158686486E-14-4.442882891146053i        4.442882891146053
127427.49857031321                                -7.226988917545986E-14                            -6.016309970431003E-14-4.442882736872723i         4.442882736872723
263665.08987303555                                -7.226988917545986E-14                            4.063917374103263E-14-4.442882076373687i          4.442882076373687
545559.4781168514                                 -7.226988917545986E-14                            5.1236158119141595E-14-4.442879248666977i         4.442879248666977
1128837.8916846884                                -7.226988917545986E-14                            -2.145804329072693E-15-4.442867142289878i         4.442867142289878
2335721.4690901213                                -7.226988917545986E-14                            -3.994006239933349E-14-4.44281531171108i          4.44281531171108
4832930.238571752                                 -7.226988917545986E-14                            1.092855353702826E-13-4.4425934235625695i         4.4425934235625695
10000000                                          -7.226988917545986E-14                            1.2664573536221807E-14-4.441643736024266i         4.441643736024266
