% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_GS_N - Lin_GS_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                -1.2895539534715127E-5-3.1415924874553225i        -1.2895539534715127E-5-3.1415924874553225i        3.1415924874817893
20.6913808111479                                  -7.587764825958568E-5-6.283118741743387i          -7.587764825958568E-5-6.283118741743387i          6.283118742201553
42.81332398719393                                 -4.850563039203361E-5-6.283182678788776i          -4.850563039203361E-5-6.283182678788776i          6.283182678976006
88.58667904100822                                 -3.511257815435388E-5-3.1415926073912637i         -3.511257815435388E-5-3.1415926073912637i         3.141592607587485
183.29807108324357                                -1.3308707375599933E-5-4.442881874644557i         -1.3308707375599933E-5-4.442881874644557i         4.44288187466449
379.26901907322497                                -3.335955723937699E-5-6.283125217716037i          -3.335955723937699E-5-6.283125217716037i          6.283125217804597
784.7599703514607                                 -2.1676364963393257E-6-3.141578297431941i         -2.1676364963393257E-6-3.141578297431941i         3.1415782974326887
1623.776739188721                                 -1.5801559568233793E-5-3.1415926671133243i        -1.5801559568233793E-5-3.1415926671133243i        3.1415926671530636
3359.818286283781                                 -1.3750993315154932E-5-4.442882964904465i         -1.3750993315154932E-5-4.442882964904465i         4.442882964925745
14384.498882876629                                -1.477333140756841E-5-6.283164954576677i          -1.477333140756841E-5-6.283164954576677i          6.283164954594045
29763.51441631313                                 -2.8976674207077704E-5-4.4428830615804396i        -2.8976674207077704E-5-4.4428830615804396i        4.442883061674933
61584.82110660255                                 -2.2326392398968766E-5-4.442882848433864i         -2.2326392398968766E-5-4.442882848433864i         4.442882848489961
127427.49857031321                                -4.2395511541570404E-5-4.442882666506116i         -4.2395511541570404E-5-4.442882666506116i         4.4428826667083925
263665.08987303555                                -2.083457303569697E-5-4.442881031150678i          -2.083457303569697E-5-4.442881031150678i          4.442881031199529
545559.4781168514                                 -2.7450818045876535E-5-6.283174487266135i         -2.7450818045876535E-5-6.283174487266135i         6.2831744873261
1128837.8916846884                                -1.4607649487363718E-5-6.283152085541322i         -1.4607649487363718E-5-6.283152085541322i         6.283152085558302
2335721.4690901213                                6.031888377911497E-15-3.4446940381092457E-6i      6.031888377911497E-15-3.4446940381092457E-6i      3.4446940381092457E-6
4832930.238571752                                 -8.16888173463609E-6-3.128434211884113i           -8.16888173463609E-6-3.128434211884113i           3.128434211894778
10000000                                          -8.961458400162372E-6-4.44004925829104i           -8.961458400162372E-6-4.44004925829104i           4.440049258300084
