% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_MS_D - Lin_MS_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                -0.36194428648872917-5.829773650758083E-17i       8.75288073710169E-14+9.934588265795787i           9.934588265795787
20.6913808111479                                  -0.36194428643449295-3.0477573439290027E-15i      -1.7324719999643977E-13+9.934588265795032i        9.934588265795032
42.81332398719393                                 -0.3619442864009776-3.586710647805871E-15i        -4.0231561917266646E-14+9.934588265792641i        9.934588265792641
88.58667904100822                                 -0.36194428631372944-3.960212396209242E-16i       -1.1041162162548902E-12+9.934588265794485i        9.934588265794485
183.29807108324357                                -0.36194428610225743-1.3446806418708628E-16i      -4.549019234802149E-12+9.934588265779167i         9.934588265779167
379.26901907322497                                -0.3619442856661289+4.200008862289715E-16i        -1.3881645101307073E-11+9.934588265800327i        9.934588265800327
784.7599703514607                                 -0.3619442847340919                               -7.822554399554721E-11+9.934588265812188i         9.934588265812188
1623.776739188721                                 -0.3619442828229024-1.0746868246880054E-16i       -1.3403100849730074E-10+9.934588265544559i        9.934588265544559
3359.818286283781                                 -0.3619442788394444-1.812504685369698E-15i        -5.263439793246929E-10+9.93458826629281i          9.93458826629281
6951.927961775606                                 -0.3619442706343501-1.3171349520985286E-16i       7.041337322036684E-13+9.934588264563136i          9.934588264563136
14384.498882876629                                -0.36194425329675445-7.67870640365373E-17i        2.1813581650108357E-12+9.934588260508619i         9.934588260508619
29763.51441631313                                 -0.3619442163613268                               9.218307140252281E-12+9.93458824316159i           9.93458824316159
61584.82110660255                                 -0.3821060541183653                               -3.3388033473615978E-12+9.93458815137304i         9.93458815137304
127427.49857031321                                -0.3821058740025301-5.848405305358235E-15i        1.9592520017714394E-11+9.934587775840312i         9.934587775840312
263665.08987303555                                -0.38210509882262766-1.3144345217716044E-16i      -4.691556036368057E-11+9.93458616803922i          9.93458616803922
545559.4781168514                                 -0.3821017737137657+1.618629205366606E-16i        -5.700383611986962E-11+9.934579284558517i         9.934579284558517
1128837.8916846884                                -0.3820875378444202-2.56793201897169E-15i         -5.37254321113207E-9+9.93454981119658i            9.93454981119658
2335721.4690901213                                -0.38202659396744343+6.241962110136311E-16i       1.5689284743941993E-10+9.934423637170894i         9.934423637170894
4832930.238571752                                 -0.38176573824452936-1.5898725135283242E-15i      -1.0068207570603003E-9+9.933883479603425i         9.933883479603425
10000000                                          -0.380650131617457-6.074039639868687E-16i         -1.8218364356252857E-10+9.931571355409265i        9.931571355409265
