% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Lin_MS_N - Lin_MS_N (lambda, abs(lambda))
% Omega                                           lambda (rad/s)                                    Eigenwert                                         abs(lambda)
10                                                2.055840029320167E-4+2.71720673784006E-4i         2.570183431385759E-5+4.4428829267542715i          4.442882926828613
20.6913808111479                                  -7.878811021196648E-5-1.0326186315620334E-9i      5.933020723623926E-6+3.141592728796186i           3.141592728801788
42.81332398719393                                 -0.9999999999999993                               1.1755645835426652E-5+4.442882943404478i          4.44288294342003
88.58667904100822                                 -4.505300807243289E-5+2.065674594651355E-8i       1.8461086214878066E-5+4.442883158309204i          4.442883158347559
183.29807108324357                                -1.637091849565173E-4+4.115432105366597E-8i       6.422424458134331E-5+6.28309748132234i            6.283097481650582
379.26901907322497                                -9.605959066354863E-4+8.800157248586745E-8i       3.9409964662267765E-5+4.442883015405561i          4.442883015580351
784.7599703514607                                 -1.0000000000001552+1.5611151129407895E-15i       4.544744820970827E-5+6.283174987797936i           6.283174987962301
1623.776739188721                                 -8.388706658682536E-5+3.0142436161487685E-8i      2.1814702374318464E-5+3.1415926488265993i         3.1415926489023382
3359.818286283781                                 0.0013078556297217757-1.0332359859101585E-5i      3.4504292159676694E-5+3.1415557194002477i         3.1415557195897312
14384.498882876629                                -8.023435266197739E-4-8.51749007884647E-8i        1.0627357145705164E-5+4.442882949400413i          4.442882949413124
29763.51441631313                                 -2.4812423141734667E-4-3.4710735749464854E-8i     5.1868313095304854E-15+3.5494153497901224E-6i     3.5494153497901224E-6
61584.82110660255                                 -3.694550777571572E-4+2.622986139450651E-8i       2.3212405335534096E-5+6.283165828125855i          6.283165828168733
127427.49857031321                                -1.0000000000001552-2.977098400516985E-16i        3.288615963523867E-6+3.1419315749017636i          3.141931574903485
263665.08987303555                                -8.822731273189873E-4+1.4417711926160013E-8i      2.2021092663747553E-15+3.42350815213615E-6i       3.42350815213615E-6
545559.4781168514                                 -0.0013843505099588947-2.0582704369030364E-7i     1.7654711449650156E-5+3.1401132483640293i         3.1401132484136594
1128837.8916846884                                -0.0034321555553909634-1.6491696847238904E-8i     5.4886711807061945E-5+4.442847337973342i          4.442847338312376
2335721.4690901213                                -0.007039781767836056+2.482431609047738E-8i       3.5210078670456044E-5+6.283100968171347i          6.283100968270004
4832930.238571752                                 -0.01654193207181859+2.9185254937010453E-8i       6.487975654899436E-6+4.442206368906144i           4.442206368910882
10000000                                          -1.000000000000155-1.489480220123186E-16i         1.5103054305696375E-6+3.1682522037155567i         3.168252203715917
