% Model:              Eigenwertbetrachtung.mph
% Version:            COMSOL 5.2.0.220
% Date:               Apr 14 2016, 11:10
% Table:              Table 2 - Global Evaluation 1 (abs(lambda))
% Omega                  lambda                   abs(lambda)
1000                     1                        7848187.136819123
2.511707289473684E7      1                        7848185.829868762
5.023314578947368E7      1                        7848183.399628377
7.534921868421052E7      1                        7848180.732318377
1.0046529157894737E8     1                        7848177.991185281
1.255813644736842E8      1                        7848175.218586526
1.5069743736842105E8     1                        7848172.429821947
1.758135102631579E8      1                        7848169.63168858
2.0092958315789473E8     1                        7848166.827651478
2.2604565605263156E8     1                        7848164.019658362
2.511617289473684E8      1                        7848161.208886838
2.7627780184210527E8     1                        7848158.396090218
3.013938747368421E8      1                        7848155.581772682
3.265099476315789E8      1                        7848152.766284237
3.516260205263158E8      1                        7848149.949875397
3.7674209342105263E8     1                        7848147.132730247
4.0185816631578946E8     1                        7848144.314986997
4.269742392105263E8      1                        7848141.496751477
4.520903121052631E8      1                        7848138.678106024
