% Model:              Eigenwertbetrachtung.mph
% Version:            COMSOL 5.2.0.220
% Date:               Apr 14 2016, 15:15
% Table:              Table 6 - Global Evaluation 5 (abs(lambda))
% Omega                  lambda                   abs(lambda)
1000                     1                        7848130.211960487
2.511707289473684E7      1                        7848127.9610772375
5.023314578947368E7      1                        7848125.174996731
7.534921868421052E7      1                        7848122.365179789
1.0046529157894737E8     1                        7848119.54931155
1.255813644736842E8      1                        7848116.731012611
1.5069743736842105E8     1                        7848113.911497305
1.758135102631579E8      1                        7848111.091287812
2.0092958315789473E8     1                        7848108.270645151
2.2604565605263156E8     1                        7848105.449714773
2.511617289473684E8      1                        7848102.628583851
2.7627780184210527E8     1                        7848099.807307973
3.013938747368421E8      1                        7848096.985924062
3.265099476315789E8      1                        7848094.1644579265
3.516260205263158E8      1                        7848091.342927765
3.7674209342105263E8     1                        7848088.521347055
4.0185816631578946E8     1                        7848085.699725831
4.269742392105263E8      1                        7848082.878071992
4.520903121052631E8      1                        7848080.056391248
500                      1                        7848130.211960463
53551.02040816326        1                        7848130.211932362
106602.04081632652       1                        7848130.211849051
159653.0612244898        1                        7848130.211710575
212704.08163265305       1                        7848130.2115169475
265755.10204081633       1                        7848130.211268253
318806.1224489796        1                        7848130.210964549
371857.14285714284       1                        7848130.210605941
424908.1632653061        1                        7848130.210192428
477959.18367346935       1                        7848130.209724182
531010.2040816327        1                        7848130.209201267
584061.2244897959        1                        7848130.208623949
637112.2448979592        1                        7848130.207992234
690163.2653061224        1                        7848130.207306322
743214.2857142857        1                        7848130.206566447
796265.3061224489        1                        7848130.20577267
849316.3265306122        1                        7848130.2049253015
902367.3469387755        1                        7848130.204024494
955418.3673469387        1                        7848130.20307048
1008469.387755102        1                        7848130.202063551
1061520.4081632653       1                        7848130.201003802
1114571.4285714284       1                        7848130.199891623
1167622.4489795917       1                        7848130.198727261
1220673.469387755        1                        7848130.197510901
1273724.4897959183       1                        7848130.196242964
1326775.5102040817       1                        7848130.194923669
1379826.5306122447       1                        7848130.193553352
1432877.551020408        1                        7848130.192132302
1485928.5714285714       1                        7848130.190660854
1538979.5918367347       1                        7848130.189139337
1592030.6122448978       1                        7848130.187568141
1645081.632653061        1                        7848130.18594755
1698132.6530612244       1                        7848130.184277923
1751183.6734693877       1                        7848130.182559657
1804234.693877551        1                        7848130.180793137
1857285.714285714        1                        7848130.178978688
1910336.7346938774       1                        7848130.17711676
1963387.7551020407       1                        7848130.17520771
2016438.775510204        1                        7848130.173251926
2069489.795918367        1                        7848130.1712498255
2122540.8163265307       1                        7848130.169201799
2175591.836734694        1                        7848130.167108231
2228642.857142857        1                        7848130.164969591
2281693.87755102         1                        7848130.162786266
2334744.8979591834       1                        7848130.160558687
2387795.9183673467       1                        7848130.158287238
2440846.93877551         1                        7848130.155972425
2493897.9591836734       1                        7848130.153614621
2546948.9795918367       1                        7848130.151214251
2600000                  1                        7848130.148771814
