% Model:              Eigenwertbetrachtung.mph
% Version:            COMSOL 5.2.0.220
% Date:               Apr 14 2016, 15:15
% Table:              Table 7 - Global Evaluation 6 (abs(lambda))
% Omega                  lambda                   abs(lambda)
1000                     1                        7848131.499321262
2.511707289473684E7      1                        7848133.750208087
5.023314578947368E7      1                        7848136.536298456
7.534921868421052E7      1                        7848139.346131477
1.0046529157894737E8     1                        7848142.162021799
1.255813644736842E8      1                        7848144.980349054
1.5069743736842105E8     1                        7848147.799898749
1.758135102631579E8      1                        7848150.620149316
2.0092958315789473E8     1                        7848153.440839142
2.2604565605263156E8     1                        7848156.261823069
2.511617289473684E8      1                        7848159.0830138065
2.7627780184210527E8     1                        7848161.904355874
3.013938747368421E8      1                        7848164.725812127
3.265099476315789E8      1                        7848167.54735708
3.516260205263158E8      1                        7848170.368972287
3.7674209342105263E8     1                        7848173.190644343
4.0185816631578946E8     1                        7848176.012363126
4.269742392105263E8      1                        7848178.834121108
4.520903121052631E8      1                        7848181.655912002
500                      1                        7848131.499321264
53551.02040816326        1                        7848131.499349411
106602.04081632652       1                        7848131.499432696
159653.0612244898        1                        7848131.4995711725
212704.08163265305       1                        7848131.499764786
265755.10204081633       1                        7848131.500013458
318806.1224489796        1                        7848131.500317217
371857.14285714284       1                        7848131.500675846
424908.1632653061        1                        7848131.501089333
477959.18367346935       1                        7848131.501557597
531010.2040816327        1                        7848131.502080393
584061.2244897959        1                        7848131.5026578065
637112.2448979592        1                        7848131.503289523
690163.2653061224        1                        7848131.503975356
743214.2857142857        1                        7848131.504715316
796265.3061224489        1                        7848131.505509072
849316.3265306122        1                        7848131.506356459
902367.3469387755        1                        7848131.507257272
955418.3673469387        1                        7848131.508211301
1008469.387755102        1                        7848131.509218261
1061520.4081632653       1                        7848131.510277959
1114571.4285714284       1                        7848131.511390135
1167622.4489795917       1                        7848131.512554521
1220673.469387755        1                        7848131.51377082
1273724.4897959183       1                        7848131.515038791
1326775.5102040817       1                        7848131.516358093
1379826.5306122447       1                        7848131.5177284125
1432877.551020408        1                        7848131.5191494655
1485928.5714285714       1                        7848131.520620864
1538979.5918367347       1                        7848131.522142434
1592030.6122448978       1                        7848131.523713665
1645081.632653061        1                        7848131.52533425
1698132.6530612244       1                        7848131.527003852
1751183.6734693877       1                        7848131.528722115
1804234.693877551        1                        7848131.5304886615
1857285.714285714        1                        7848131.532303078
1910336.7346938774       1                        7848131.534165011
1963387.7551020407       1                        7848131.536074088
2016438.775510204        1                        7848131.538029909
2069489.795918367        1                        7848131.5400319705
2122540.8163265307       1                        7848131.542080028
2175591.836734694        1                        7848131.544173576
2228642.857142857        1                        7848131.546312204
2281693.87755102         1                        7848131.548495531
2334744.8979591834       1                        7848131.550723102
2387795.9183673467       1                        7848131.552994546
2440846.93877551         1                        7848131.555309382
2493897.9591836734       1                        7848131.557667175
2546948.9795918367       1                        7848131.5600675335
2600000                  1                        7848131.562510016
