% Model:              Eigenwertbetrachtung.mph
% Version:            COMSOL 5.2.0.220
% Date:               Apr 14 2016, 11:10
% Table:              Table 3 - Eigval2 (abs(lambda))
% Omega                  lambda                   abs(lambda)
1000                     1                        7848191.923726887
2.511707289473684E7      1                        7848193.230680357
5.023314578947368E7      1                        7848195.660930013
7.534921868421052E7      1                        7848198.328255468
1.0046529157894737E8     1                        7848201.069410174
1.255813644736842E8      1                        7848203.842036755
1.5069743736842105E8     1                        7848206.630835336
1.758135102631579E8      1                        7848209.429008891
2.0092958315789473E8     1                        7848212.233092364
2.2604565605263156E8     1                        7848215.041138038
2.511617289473684E8      1                        7848217.851968324
2.7627780184210527E8     1                        7848220.664829842
3.013938747368421E8      1                        7848223.479218488
3.265099476315789E8      1                        7848226.294784249
3.516260205263158E8      1                        7848229.111276544
3.7674209342105263E8     1                        7848231.928511362
4.0185816631578946E8     1                        7848234.746350464
4.269742392105263E8      1                        7848237.56468805
4.520903121052631E8      1                        7848240.383441705
