0	30	41.6849	57.9209	80.4809	111.828	155.384	215.906	300	416.849	579.209	804.809	1118.28	1553.84	2159.06	3000	4168.49	5792.09	8048.09	11182.8	15538.4	21590.6	30000	41684.9	57920.9	80480.9	111828	155384	215906	300000	416849	579209	804809	1118280	1553840	2159060	3000000	4168490	5792090	8048090	11182800	15538400	21590600	30000000	41684900	57920900	80480900	111828000	155384000	215906000	300000000	
-167.783274817846+0i	-167.783274897262+0i	-167.783274932895+0i	-167.783274971966+0i	-167.783275033455+0i	-167.783275115718+0i	-167.78327523927+0i	-167.783275385602+0i	-167.783275619501+0i	-167.783275929133+0i	-167.783276506526+0i	-167.783276951993+3.35386062690428e-09i	-167.783277796266+0i	-167.783278940887+0i	-167.783280548069+0i	-167.783282781836+0i	-167.783285873441+0i	-167.783290175335+0i	-167.783296217103+0i	-167.783304613415+0i	-167.783316531397+0i	-167.783331726903+0i	-167.783353648293+0i	-167.783383913659+0i	-167.783425476903+0i	-167.783482393396+0i	-167.783559970116+0i	-167.783664652754+0i	-167.783803784445+0i	-167.783985257896+0i	-167.784215101686+0i	-167.784491340832+0i	-167.784789381338+0i	-167.785040934368+0i	-167.785074293051+0i	-167.784508073425+0i	-167.782533047243+0i	-167.777478297644+0i	-167.76595276026+0i	-167.741130198254+0i	-167.689317031678+0i	-196.765072147176+0i	-167.366423312152+5.21613920967496e-12i	-166.924543266721+0i	-166.148468476006+0i	-164.368958548375+2.71137513495781e-12i	-160.38113220636+2.86912475373101e-12i	-150.829978035483+0i	-122.245860225307+0i	-31.7876675293618+0i	-0.00457046466515947+0.417499971582693i	
-167.783274817846+0i	-167.783274896498+0i	-167.783274928621+0i	-167.783274971612+0i	-167.783275032377+0i	-167.783275113316+0i	-167.783275220402+0i	-167.783275271653+0i	-167.783275584265+0i	-167.783275271313+0i	-167.783276353669+0i	-167.783276951993+-3.35386062690428e-09i	-167.783277787479+0i	-167.783278885139+0i	-167.783274812125+-2.95338384774819e-06i	-167.783282541474+0i	-167.783285872934+0i	-167.783290108167+0i	-167.783296134652+0i	-167.783304406013+0i	-167.783315863075+0i	-167.783330513909+0i	-167.783353539463+0i	-167.783383887092+0i	-167.783425464364+0i	-167.783482392881+0i	-167.783559873646+0i	-167.78366439529+0i	-167.783803573628+0i	-167.783984824639+0i	-167.784215026689+0i	-167.78449077951+0i	-167.784789229473+0i	-167.785039809831+0i	-167.785074292944+0i	-167.784508073209+0i	-167.78253289298+0i	-167.777478297535+0i	-167.76595276013+0i	-167.741130092004+0i	-167.689317031612+0i	-176.284362118189+0i	-167.366423312152+-5.21613920967496e-12i	-166.924543266691+0i	-166.148468476004+0i	-164.368958548375+-2.71137513495781e-12i	-160.38113220636+-2.86912475373101e-12i	-150.829978035124+0i	-122.245860225303+0i	-31.787667529361+0i	-0.00457046466515947+-0.417499971582693i	
-167.783274817837+0i	-167.78327473919+0i	-167.783274707076+0i	-167.783274664099+0i	-167.783274603317+0i	-167.78327452237+0i	-167.783274415271+0i	-167.783274363969+0i	-167.783274051288+0i	-167.783274364176+0i	-167.783273281408+0i	-167.783272682482+3.35418227311501e-09i	-167.783271845827+0i	-167.783270745918+0i	-167.783274812125+2.95338384774819e-06i	-167.783267076899+0i	-167.783263729377+0i	-167.783259463084+0i	-167.783253376617+0i	-167.783244989465+0i	-167.783233308813+0i	-167.783218231889+0i	-167.783194366814+0i	-167.783162410679+0i	-167.783117726806+0i	-167.783054800314+0i	-167.782965739215+0i	-167.782838859859+0i	-167.782656514664+0i	-167.782391912696+0i	-167.78200081232+0i	-167.781414397398+0i	-167.780516135868+0i	-167.779107491398+0i	-167.776837207826+0i	-167.773086534929+0i	-167.766726821528+0i	-167.755687734187+0i	-167.736136139639+0i	-167.700937684525+0i	-167.636789991785+0i	-167.582995366408+0i	-167.301352477372+0i	-166.898817553636+1.05920049590184e-12i	-165.998883562111+4.08013936588832e-12i	-162.386519118887+0i	-151.867537294554+0i	-135.166489592644+0i	-112.50381032052+0i	-30.772313903226+-1.38354438064026e-12i	0.322595647842802+0.0490743108676071i	
-167.783274817837+0i	-167.783274738426+0i	-167.783274702802+0i	-167.783274663746+0i	-167.78327460224+0i	-167.783274519967+0i	-167.783274396401+0i	-167.783274250029+0i	-167.783274016045+0i	-167.783273706244+0i	-167.783273128601+0i	-167.783272682482+-3.35418227311501e-09i	-167.783271837051+0i	-167.783270690173+0i	-167.78326907867+0i	-167.783266836566+0i	-167.78326372887+0i	-167.783259395909+0i	-167.783253294211+0i	-167.783244780776+0i	-167.783232640349+0i	-167.783217013321+0i	-167.783194258525+0i	-167.783162384115+0i	-167.783117714196+0i	-167.7830547998+0i	-167.782965641984+0i	-167.782838604059+0i	-167.782656306232+0i	-167.78239148922+0i	-167.782000737644+0i	-167.781413837305+0i	-167.780515994329+0i	-167.779106394808+0i	-167.776837207722+0i	-167.773086534712+0i	-167.766726692083+0i	-167.755687734081+0i	-167.736136139513+0i	-167.700937564325+0i	-167.636789991711+0i	-167.518922762467+0i	-167.301352477352+0i	-166.898817553636+-1.05920049590184e-12i	-165.998883562111+-4.08013936588832e-12i	-162.386519118885+0i	-151.867537294551+0i	-135.166489592643+0i	-112.50381032052+0i	-30.772313903226+1.38354438064026e-12i	0.322595647842802+-0.0490743108676071i	
-128.304857213466+0i	-128.304861449958+0i	-128.30486309602+0i	-128.304865394659+0i	-128.304868579+0i	-128.304872998817+0i	-128.304879143448+0i	-128.304887682215+0i	-128.30489955323+0i	-128.304916043739+0i	-128.304938957291+0i	-128.304970796941+0i	-128.30501502915+0i	-128.305076498542+0i	-128.305161902217+0i	-128.305280573907+0i	-128.305445463695+0i	-128.305674569981+0i	-128.305992898263+0i	-128.306435189566+0i	-128.307049690412+0i	-128.307903455154+0i	-128.309089550672+-4.38151494690887e-10i	-128.31073726963+0i	-128.313026040996+0i	-128.316204929581+0i	-128.320619345137+0i	-128.326747953797+0i	-128.3352539182+0i	-128.347053710217+0i	-128.363412758263+0i	-128.386072292548+4.23396275546587e-11i	-128.417420376362+4.76148023032718e-11i	-128.460712811932+0i	-128.520352701741+0i	-128.602229141133+0i	-128.714068327804+-3.63366133827456e-12i	-128.865733134461+0i	-129.069209735603+6.14125360685749e-13i	-129.337801610066+0i	-129.683374950161+0i	-130.109279897361+0i	-130.59385801786+2.40718727990078e-12i	-131.053457399086+0i	-131.26133454349+0i	-130.669864236873+1.07080845173594e-12i	-128.012083547941+0i	-120.199408741322+0i	-99.4081766244476+0i	-27.6516243638324+-1.04600035349788e-13i	0.32259534402423+0.0490742001002876i	
-128.304857213466+0i	-128.304861448155+0i	-128.304863095701+0i	-128.304865385349+0i	-128.304868571369+0i	-128.304872993276+0i	-128.304879139066+0i	-128.304887680469+0i	-128.30489955143+0i	-128.304916041745+0i	-128.304938952047+0i	-128.304970787542+0i	-128.305015027232+0i	-128.305076496269+0i	-128.305161901662+0i	-128.305280572573+0i	-128.305445463203+0i	-128.305674568688+0i	-128.305992897205+0i	-128.306435188075+0i	-128.307049689606+0i	-128.307903453838+0i	-128.309089550672+4.38151494690887e-10i	-128.310737269316+0i	-128.313026040721+0i	-128.31620492905+0i	-128.320619345007+0i	-128.326747953636+0i	-128.335253918118+0i	-128.347053710038+0i	-128.363412758121+0i	-128.386072292548+-4.23396275546587e-11i	-128.417420376362+-4.76148023032718e-11i	-128.46071281191+0i	-128.520352701679+0i	-128.602229141115+0i	-128.714068327804+3.63366133827456e-12i	-128.865733134433+0i	-129.069209735603+-6.14125360685749e-13i	-129.33780161006+0i	-129.683374950152+0i	-130.109279743432+0i	-130.59385801786+-2.40718727990078e-12i	-131.053457399083+0i	-131.261334543489+0i	-130.669864236873+-1.07080845173594e-12i	-128.012083547941+0i	-120.199408741321+0i	-99.4081766244472+0i	-27.6516243638324+1.04600035349788e-13i	0.32259534402423+-0.0490742001002876i	
-128.304857213459+0i	-128.304852978777+0i	-128.304851331246+0i	-128.304849041606+0i	-128.304845855549+0i	-128.304841433643+0i	-128.304835287822+0i	-128.304826746343+0i	-128.304814875233+0i	-128.304798384664+0i	-128.304775473861+0i	-128.304743637385+0i	-128.304699395805+0i	-128.304637923114+0i	-128.304552510677+0i	-128.304433826182+0i	-128.304268909322+0i	-128.304039753208+0i	-128.303721326933+0i	-128.303278847333+0i	-128.302663981397+0i	-128.301809513618+0i	-128.300622058463+-4.38403750621022e-10i	-128.298971717316+0i	-128.296677882612+0i	-128.293489218547+0i	-128.289055928513+0i	-128.282890880338+0i	-128.274314560751+0i	-128.262378936039+0i	-128.245757634119+0i	-128.222591770502+3.79469952713322e-11i	-128.190266110787+4.71655350485324e-11i	-128.145086261714+0i	-128.081802395869+0i	-127.992890366383+0i	-127.867467598294+0i	-127.689576285892+0i	-127.435462585059+0i	-127.069097619827+0i	-126.53472568288+0i	-125.744213611169+0i	-124.555322903807+4.3872501951825e-12i	-122.734753594338+0i	-119.895892987385+0i	-115.402516772753+0i	-108.277271641002+0i	-98.2201011375557+0i	-89.4175486217213+0i	-25.0953412672968+0i	-0.189003928371106+0.220245593779406i	
-128.304857213459+0i	-128.304852976974+0i	-128.304851330926+0i	-128.304849032295+0i	-128.304845847918+0i	-128.304841428102+0i	-128.30483528344+0i	-128.304826744596+0i	-128.304814873432+0i	-128.30479838267+0i	-128.304775468617+0i	-128.304743627986+0i	-128.304699393887+0i	-128.304637920841+0i	-128.304552510121+0i	-128.304433824846+0i	-128.30426890883+0i	-128.304039751915+0i	-128.303721325874+0i	-128.303278845843+0i	-128.302663980593+0i	-128.301809512301+0i	-128.300622058463+4.38403750621022e-10i	-128.298971717002+0i	-128.296677882337+0i	-128.293489218016+0i	-128.289055928382+0i	-128.282890880177+0i	-128.274314560669+0i	-128.262378935859+0i	-128.245757633989+0i	-128.222591770502+-3.79469952713322e-11i	-128.190266110787+-4.71655350485324e-11i	-128.14508626169+0i	-128.081802395815+0i	-127.992890366369+0i	-127.86746759829+0i	-127.689576285865+0i	-127.435462585057+0i	-127.069097619821+0i	-126.534725682867+0i	-125.744213586103+0i	-124.555322903807+-4.3872501951825e-12i	-122.734753594336+0i	-119.895892987382+0i	-115.402516772752+0i	-108.277271640999+0i	-98.220101137555+0i	-89.417548621721+0i	-25.0953412672961+0i	-0.189003928371106+-0.220245593779406i	
-98.6960440102181+0i	-98.6960440102209+0i	-98.6960440102218+0i	-98.6960440102401+0i	-98.6960440102225+0i	-98.6960440102247+0i	-98.6960440102277+0i	-98.6960440102303+0i	-98.6960440102276+0i	-98.696044010225+0i	-98.6960440102222+0i	-98.6960440102088+0i	-98.6960440101952+0i	-98.6960440101498+0i	-98.6960440100807+0i	-98.6960440099471+0i	-98.6960440096979+0i	-98.6960440092083+0i	-98.6960440082651+0i	-98.6960440064536+0i	-98.6960440029418+0i	-98.6960439961629+0i	-98.6960439830921+2.63816563295816e-13i	-98.6960439578527+0i	-98.6960439090956+0i	-98.6960438149661+0i	-98.6960436332287+0i	-98.6960432823534+0i	-98.6960426048562+0i	-98.6960412967597+0i	-98.6960387709123+0i	-98.6960338931216+0i	-98.6960244711107+0i	-98.6960062636465+0i	-98.6959710502263+0i	-98.6959028354876+2.9095740151158e-13i	-98.6957702893875+0i	-98.6955112318928+0i	-98.69499935484+0i	-98.6939675288397+0i	-98.6918141098461+0i	-98.6870627121232+0i	-98.6757252999166+0i	-98.6461023722394+0i	-98.5621152360909+0i	-98.3108512406979+0i	-97.5294578874673+0i	-94.3304682800205+2.08242769313469e-13i	-81.0213998641435+0i	18.609521869152+-10.6890137882465i	-0.189003927235661+0.220245592874645i	
-98.6960440102178+0i	-98.6960440102201+0i	-98.6960440102218+0i	-98.6960440102398+0i	-98.6960440102219+0i	-98.6960440102246+0i	-98.6960440102272+0i	-98.6960440102302+0i	-98.6960440102275+0i	-98.6960440102243+0i	-98.696044010222+0i	-98.6960440102082+0i	-98.6960440101945+0i	-98.6960440101491+0i	-98.6960440100806+0i	-98.6960440099467+0i	-98.6960440096974+0i	-98.6960440092078+0i	-98.6960440082648+0i	-98.6960440064531+0i	-98.6960440029413+0i	-98.6960439961625+0i	-98.6960439830921+-2.63816563295816e-13i	-98.6960439578521+0i	-98.6960439090947+0i	-98.696043814966+0i	-98.6960436332277+0i	-98.6960432823522+0i	-98.6960426048552+0i	-98.6960412967595+0i	-98.696038770911+0i	-98.6960338931214+0i	-98.6960244711103+0i	-98.6960062636452+0i	-98.6959710502255+0i	-98.6959028354876+-2.9095740151158e-13i	-98.6957702893868+0i	-98.6955112318902+0i	-98.6949993548397+0i	-98.6939675288395+0i	-98.6918141098435+0i	-98.6870627119531+0i	-98.6757252999151+0i	-98.646102372237+0i	-98.5621152360907+0i	-98.3108512406966+0i	-97.5294578874672+0i	-94.3304682800205+-2.08242769313469e-13i	-81.0213998641429+0i	18.609521869152+10.6890137882465i	-0.189003927235661+-0.220245592874645i	
